"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.463,0.428,0.34,0.348,0.383,0.24
"P05","Bastante",0.395,0.37,0.396,0.401,0.254,0.266
"P05","Poco",0.11,0.148,0.135,0.118,0.193,0.255
"P05","Nada",0.015,0.043,0.095,0.114,0.135,0.128
"P05","No sabe",0.017,0.011,0.034,0.019,0.035,0.111
"P06","Siempre",0.318,0.331,0.252,0.34,0.264,0.241
"P06","Casi siempre",0.455,0.439,0.351,0.406,0.389,0.38
"P06","Casi nunca",0.156,0.17,0.302,0.157,0.212,0.241
"P06","Nunca, pero esta es una excepción",0.071,0.06,0.095,0.097,0.135,0.138
"P07","Del Frente de Todos y el peronismo",0.848,0.05,0.051,0.286,0.19,0.219
"P07","De Juntos por el Cambio",0.057,0.793,0.119,0.179,0.344,0.233
"P07","De los Liberales libertarios",0.027,0.086,0.739,0.022,0.089,0.066
"P07","De la Izquierda",0.025,0.011,0.02,0.467,0.072,0.02
"P07","No sabe",0.043,0.06,0.071,0.046,0.305,0.462
"P08","A Sergio Massa",0.306,0.182,0.237,0.115,0.377,0.442
"P08","A Daniel Scioli",0.078,0.211,0.243,0.089,0.317,0.158
"P08","A algún candidato del peronismo",0.095,0.331,0.353,0.216,0.18,0.155
"P08","A algún candidato del kirchnerismo",0.521,0.276,0.167,0.58,0.126,0.245
"P09","A Horacio Rodríguez Larreta",0.227,0.11,0.141,0.09,0.362,0.418
"P09","A Patricia Bullrich",0.204,0.832,0.713,0.505,0.284,0.308
"P09","A Facundo Manes",0.423,0.026,0.066,0.059,0.154,0.169
"P09","A Gerardo Morales",0.146,0.032,0.08,0.346,0.2,0.105
"P10","Sergio Massa por el Frente de Todos",0.453,0.06,0.014,0.166,0.113,0.222
"P10","Patricia Bullrich por Juntos por el Cambio",0.017,0.526,0.041,0.021,0.118,0.085
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.073,0.012,0.051,0.141,0.099
"P10","Juan Schiaretti por Juntos por el Cambio",0.017,0.021,0.32,0.042,0.065,0.067
"P10","Jose Luis Espert por Juntos por el Cambio",0.226,0.023,0.013,0.101,0.096,0.057
"P10","Javier Milei por la Libertad Avanza",0.025,0.275,0.568,0.017,0.073,0.08
"P10","Al candidato del Frente de Izquierda",0.049,0.004,0.001,0.523,0.032,0.005
"P10","En blanco",0.026,0.003,0.012,0.036,0.226,0.05
"P10","No sabe",0.175,0.015,0.019,0.043,0.136,0.335
"P13","Wado de Pedro por el Frente de Todos",0.563,0.086,0.024,0.255,0.087,0.106
"P13","Patricia Bullrich por Juntos por el Cambio",0.022,0.489,0.04,0.02,0.084,0.076
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.108,0.023,0.027,0.128,0.116
"P13","Juan Schiaretti por Juntos por el Cambio",0.013,0.02,0.308,0.043,0.077,0.076
"P13","Jose Luis Espert por Juntos por el Cambio",0.262,0.013,0.064,0.09,0.051,0.061
"P13","Javier Milei por la Libertad Avanza",0.041,0.264,0.527,0.013,0.08,0.063
"P13","Al candidato del Frente de Izquierda",0.02,0.002,0.001,0.516,0.031,0.017
"P13","En blanco",0.011,0.003,0.006,0.005,0.32,0.041
"P13","No sabe",0.058,0.015,0.007,0.031,0.142,0.444
"P16","Sergio Massa por el Frente de Todos",0.243,0.024,0.034,0.127,0.156,0.141
"P16","Wado de Pedro por el Frente de Todos",0.598,0.019,0.013,0.138,0.043,0.028
"P16","Daniel Scioli por el Frente de Todos",0.075,0.021,0.026,0.103,0.11,0.056
"P16","Patricia Bullrich por Juntos por el Cambio",0.02,0.735,0.092,0.057,0.082,0.115
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.128,0.051,0.033,0.191,0.14
"P16","Javier Milei por la Libertad Avanza",0.016,0.06,0.764,0.028,0.038,0.057
"P16","Al candidato del Frente de Izquierda",0.007,0.002,0.002,0.434,0.029,0.016
"P16","En blanco",0.003,0.002,0.007,0.049,0.236,0.02
"P16","No sabe",0.021,0.009,0.011,0.031,0.115,0.427
"P19","Sergio Massa por el Frente de Todos",0.223,0.033,0.045,0.038,0.14,0.166
"P19","Wado de Pedro por el Frente de Todos",0.653,0.025,0.015,0.215,0.032,0.063
"P19","Patricia Bullrich por Juntos por el Cambio",0.027,0.733,0.079,0.018,0.105,0.093
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.139,0.027,0.13,0.22,0.154
"P19","Javier Milei por la Libertad Avanza",0.023,0.056,0.762,0.05,0.083,0.072
"P19","Al candidato del Frente de Izquierda",0.012,0.005,0.054,0.454,0.029,0.006
"P19","En blanco",0.005,0.003,0.004,0.08,0.256,0.025
"P19","No sabe",0.028,0.006,0.014,0.015,0.135,0.421
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.799,0.034,0.037,0.233,0.172,0.214
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.037,0.756,0.084,0.117,0.07,0.112
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.026,0.116,0.045,0.078,0.22,0.205
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.015,0.033,0.026,0.021,0.049,0.027
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.022,0.04,0.777,0.007,0.059,0.035
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.029,0.001,0.019,0.491,0.051,0.006
"P22","En blanco",0.013,0.008,0.003,0.053,0.235,0.017
"P22","No sabe",0.059,0.012,0.009,0,0.144,0.384
"P25","Sergio Massa por el Frente de Todos",0.546,0.05,0.047,0.073,0.153,0.16
