"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy positivo",0.333,0.311,0.356,0.324,0.325,0.38,0.291,0.347,0.327,0.326,0.539,0.192,0.103,0.569,0.455,0.092,0.086,0.193,0.346,0.311
"Positivo",0.229,0.25,0.208,0.242,0.227,0.199,0.266,0.221,0.215,0.257,0.229,0.201,0.33,0.237,0.219,0.205,0.169,0.266,0.244,0.204
"Neutral",0.266,0.255,0.277,0.295,0.268,0.265,0.241,0.228,0.277,0.291,0.133,0.368,0.493,0.116,0.194,0.385,0.595,0.327,0.253,0.288
"Algo negativo",0.052,0.051,0.052,0.05,0.045,0.058,0.058,0.04,0.079,0.031,0.033,0.068,0,0.021,0.051,0.103,0.095,0.028,0.052,0.051
"Negativo",0.089,0.104,0.073,0.089,0.083,0.073,0.122,0.1,0.083,0.084,0.041,0.133,0.074,0.037,0.066,0.158,0.051,0.155,0.083,0.099
"No sabe",0.031,0.029,0.034,0,0.052,0.025,0.022,0.064,0.019,0.011,0.025,0.038,0,0.02,0.015,0.057,0.004,0.031,0.022,0.047
