"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.178,0.229,0.125,0.23,0.139,0.159,0.228,0.274,0.168,0.067,0.463,0.08,0.294,0.421,0.469,0.036,0.017,0.072,0.192,0.155
"Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.417,0.409,0.426,0.302,0.451,0.573,0.281,0.344,0.439,0.479,0.215,0.612,0.218,0.265,0.305,0.598,0.812,0.45,0.431,0.392
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.124,0.116,0.132,0.104,0.147,0.073,0.171,0.113,0.12,0.145,0.211,0.122,0.072,0.205,0.088,0.089,0.055,0.108,0.114,0.142
"Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.036,0.016,0.056,0.04,0.043,0.008,0.053,0.04,0.02,0.056,0.02,0.012,0.027,0.012,0.13,0.019,0,0.015,0.013,0.074
"En blanco",0.176,0.167,0.185,0.302,0.165,0.061,0.163,0.143,0.205,0.173,0.052,0.123,0.183,0.041,0.003,0.045,0.063,0.287,0.184,0.163
"No sabe",0.069,0.063,0.076,0.022,0.055,0.126,0.104,0.086,0.048,0.08,0.039,0.051,0.206,0.056,0.005,0.213,0.053,0.068,0.066,0.074
