"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.458,0.435,0.43,0.588,0.301,0.185,0.03
"P06","Bastante",0.394,0.391,0.373,0.181,0.486,0.554,0.344
"P06","Poco",0.136,0.148,0.163,0.187,0.213,0.261,0.584
"P06","Nada",0.012,0.016,0.029,0.044,0,0,0.042
"P06","No sabe",0,0.01,0.005,0,0,0,0
"P07","Siempre",0.27,0.253,0.247,0.265,0.167,0.096,0.165
"P07","Casi siempre",0.437,0.433,0.414,0.354,0.323,0.68,0.374
"P07","Casi nunca",0.254,0.211,0.288,0.365,0.11,0.192,0.461
"P07","Nunca, pero esta es una excepción",0.039,0.103,0.051,0.016,0.4,0.032,0
"P09","Gran excedente habitual",0.008,0.002,0.023,0.057,0,0,0
"P09","Gran excedente excepcional",0.006,0.009,0.004,0.004,0.016,0,0.068
"P09","Pequeño excedente habitual",0.055,0.069,0.047,0.047,0,0,0
"P09","Pequeño excedente excepcional",0.14,0.105,0.143,0.15,0.016,0.039,0.051
"P09","Alcanza gastos familia",0.136,0.184,0.092,0.093,0.178,0.004,0
"P09","No alcanza gastos familia",0.11,0.043,0.081,0.054,0.036,0.272,0.186
"P09","Solo NBFamiliares",0.255,0.29,0.273,0.335,0.094,0.171,0.331
"P09","No alcanza NBFamiliares",0.281,0.296,0.335,0.252,0.66,0.514,0.364
"P09","No sabe",0.009,0.002,0.002,0.008,0,0,0
"P10","Tiene Decidido que va a ir a votar",0.924,0.823,0.875,0.905,0.934,0.705,0.677
"P10","Tiene dudas sobre si va a ir a  votar",0.046,0.17,0.109,0.091,0.066,0.075,0.191
"P10","Tiene Decidido que no va a ir a votar",0.03,0.007,0.016,0.004,0,0.22,0.132
"P13","Unión por la Patria",0.623,0.108,0.073,0.522,0.103,0.272,0.2
"P13","Juntos por el Cambio ",0.229,0.583,0.238,0.063,0.036,0.074,0.065
"P13","Liberales",0.045,0.09,0.494,0.144,0.042,0.022,0
"P13","Izquierda",0.026,0.113,0.019,0.114,0.462,0.04,0.471
"P13","Hacemos por Nuestro país",0.026,0.008,0.093,0.037,0.149,0.358,0.036
"P13","No sabe",0.051,0.098,0.083,0.12,0.208,0.234,0.228
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.663,0.105,0.118,0.53,0.14,0.294,0.183
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.199,0.691,0.388,0.033,0.085,0.18,0.032
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.083,0.127,0.377,0.216,0.07,0,0.068
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.029,0.022,0.009,0.005,0.051,0.023,0.147
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.013,0.009,0.039,0.109,0.355,0.004,0.299
"P18","En blanco",0.005,0.02,0.032,0.057,0.129,0.397,0
"P18","No sabe",0.008,0.026,0.037,0.05,0.17,0.102,0.271
"P21","Totalmente seguro",0.751,0.554,0.57,0.605,0.667,0.272,0.482
"P21","Bastante seguro",0.092,0.272,0.183,0.111,0.109,0.106,0.018
"P21","Algo seguro",0.122,0.098,0.176,0.111,0.016,0.1,0.082
"P21","Para nada seguro",0.035,0.076,0.071,0.173,0.208,0.522,0.418
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.062,0.23,0.28,0.096,0.086,0,0
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.109,0.213,0.191,0.014,0.619,0,0
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.287,0.065,0.236,0.249,0.089,0.062,0
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.236,0.185,0.104,0.475,0,0.738,0.646
"P32","En blanco",0.223,0.29,0.147,0.09,0.206,0.2,0.354
"P32","No sabe",0.083,0.017,0.042,0.076,0,0,0
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.121,0.089,0.063,0,0,0,0
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.447,0.388,0.508,0.806,0.35,0,0.467
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.256,0.142,0.165,0,0,1,0.533
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.014,0.028,0.016,0.1,0,0,0
"P33","En blanco",0.104,0.204,0.134,0.094,0,0,0
"P33","No sabe",0.058,0.149,0.114,0,0.65,0,0
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.241,0.289,0.128,0.469,0,0,0
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.624,0.366,0.433,0.083,1,0,1
