"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Si",0.222,0.215,0.228,0.273,0.239,0.193,0.18,0.192,0.213,0.264,0.151,0.227,0.43,0.058,0.34,0.185,0.42,0.357,0.206,0.249
"No",0.778,0.785,0.772,0.727,0.761,0.807,0.82,0.808,0.787,0.736,0.849,0.773,0.57,0.942,0.66,0.815,0.58,0.643,0.794,0.751
