"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy positivo",0.18,0.192,0.168,0.253,0.181,0.187,0.122,0.178,0.174,0.189,0.31,0.091,0.071,0.346,0.245,0.019,0.049,0.062,0.181,0.177
"Positivo",0.214,0.216,0.212,0.182,0.231,0.239,0.168,0.233,0.191,0.225,0.309,0.126,0.406,0.291,0.402,0.085,0.147,0.126,0.218,0.206
"Neutral",0.302,0.295,0.31,0.336,0.326,0.261,0.293,0.289,0.312,0.303,0.204,0.394,0.151,0.204,0.211,0.412,0.395,0.387,0.302,0.303
"Algo negativo",0.09,0.103,0.078,0.101,0.079,0.086,0.11,0.063,0.108,0.093,0.05,0.12,0.122,0.048,0.052,0.139,0.173,0.114,0.088,0.095
"Negativo",0.104,0.119,0.088,0.085,0.074,0.108,0.165,0.115,0.08,0.123,0.033,0.167,0.112,0.037,0.018,0.205,0.144,0.181,0.095,0.119
"No sabe",0.11,0.075,0.144,0.043,0.109,0.119,0.142,0.122,0.135,0.067,0.094,0.102,0.138,0.074,0.072,0.14,0.092,0.13,0.116,0.1
