"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy positivo",0.136,0.153,0.118,0.116,0.146,0.155,0.103,0.158,0.133,0.115,0.221,0.081,0.039,0.265,0.191,0.011,0.044,0.042,0.141,0.125
"Positivo",0.166,0.164,0.168,0.122,0.167,0.191,0.162,0.198,0.16,0.14,0.255,0.1,0.05,0.254,0.297,0.052,0.089,0.09,0.177,0.145
"Neutral",0.424,0.407,0.441,0.528,0.431,0.403,0.365,0.357,0.422,0.498,0.356,0.459,0.65,0.302,0.387,0.531,0.525,0.488,0.408,0.455
"Algo negativo",0.074,0.081,0.067,0.101,0.069,0.063,0.079,0.045,0.087,0.088,0.04,0.102,0.034,0.044,0.031,0.11,0.118,0.107,0.065,0.092
"Negativo",0.076,0.087,0.066,0.07,0.052,0.071,0.134,0.079,0.066,0.086,0.026,0.128,0.132,0.034,0.016,0.14,0.089,0.16,0.071,0.086
"No sabe",0.124,0.108,0.14,0.063,0.135,0.117,0.157,0.163,0.132,0.073,0.102,0.13,0.095,0.101,0.078,0.156,0.135,0.113,0.138,0.097
