"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy positiva",0.251,0.261,0.24,0.353,0.238,0.267,0.187,0.266,0.224,0.27,0.435,0.115,0.072,0.464,0.384,0.036,0.068,0.097,0.248,0.255
"Positiva",0.237,0.219,0.256,0.253,0.255,0.214,0.224,0.235,0.233,0.244,0.343,0.153,0.2,0.289,0.4,0.124,0.137,0.159,0.268,0.186
"Neutral",0.223,0.208,0.239,0.112,0.222,0.261,0.245,0.205,0.259,0.196,0.105,0.315,0.346,0.119,0.092,0.322,0.425,0.297,0.221,0.227
"Algo negativa",0.093,0.1,0.085,0.089,0.094,0.078,0.113,0.09,0.102,0.083,0.032,0.127,0.175,0.052,0.03,0.159,0.199,0.101,0.083,0.109
"Negativa",0.137,0.165,0.109,0.166,0.13,0.118,0.159,0.126,0.134,0.153,0.046,0.225,0.155,0.05,0.076,0.243,0.134,0.278,0.126,0.156
"No sabe",0.059,0.047,0.071,0.027,0.061,0.062,0.072,0.078,0.048,0.054,0.039,0.065,0.052,0.026,0.018,0.116,0.037,0.068,0.054,0.067
