"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Muy buena",0.049,0.067,0.032,0.065,0.062,0.031,0.034,0.074,0.039,0.036,0.064,0.037,0.015,0.075,0.079,0.009,0.015,0.043,0.036,0.073
"Buena",0.103,0.093,0.112,0.082,0.073,0.135,0.137,0.13,0.1,0.078,0.144,0.07,0.025,0.173,0.114,0.047,0.069,0.045,0.104,0.101
"Regular",0.226,0.219,0.233,0.221,0.239,0.245,0.179,0.223,0.228,0.226,0.419,0.085,0.24,0.419,0.368,0.018,0.095,0.074,0.24,0.2
"Mala",0.237,0.222,0.251,0.128,0.239,0.25,0.314,0.291,0.203,0.222,0.227,0.258,0.136,0.202,0.235,0.318,0.258,0.163,0.246,0.22
"Muy mala",0.385,0.399,0.372,0.504,0.387,0.339,0.336,0.282,0.43,0.438,0.146,0.55,0.584,0.131,0.204,0.608,0.563,0.675,0.374,0.406
