"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Totalmente seguro",0.684,0.715,0.654,0.7,0.659,0.697,0.703,0.595,0.682,0.777,0.731,0.699,0.616,0.773,0.728,0.709,0.543,0.643,0.717,0.626
"Bastante seguro",0.14,0.13,0.149,0.129,0.145,0.137,0.144,0.176,0.131,0.117,0.12,0.157,0.159,0.106,0.129,0.153,0.19,0.18,0.127,0.164
"Algo seguro",0.103,0.101,0.106,0.1,0.119,0.091,0.092,0.149,0.1,0.061,0.086,0.109,0.124,0.09,0.074,0.098,0.153,0.131,0.086,0.134
"Para nada seguro",0.073,0.054,0.091,0.071,0.077,0.075,0.061,0.08,0.087,0.045,0.063,0.035,0.101,0.031,0.069,0.04,0.114,0.046,0.07,0.076
