"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.396,0.377,0.415,0.347,0.402,0.444,0.362,0.411,0.376,0.41,0.688,0.197,0.24,0.822,0.515,0.085,0.099,0.052,0.418,0.356
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.25,0.233,0.267,0.184,0.195,0.275,0.39,0.27,0.237,0.248,0.089,0.427,0.22,0.082,0.07,0.677,0.699,0.094,0.248,0.254
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.242,0.297,0.187,0.327,0.28,0.184,0.167,0.213,0.26,0.247,0.138,0.306,0.36,0.071,0.17,0.208,0.081,0.806,0.219,0.284
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.031,0.032,0.029,0.041,0.034,0.026,0.021,0.013,0.03,0.05,0.031,0.014,0.084,0.005,0.148,0.004,0.018,0.002,0.033,0.027
"Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.021,0.017,0.026,0.032,0.022,0.02,0.012,0.023,0.026,0.012,0.008,0.018,0.016,0.004,0.014,0.007,0.008,0.017,0.025,0.015
"En blanco",0.028,0.019,0.036,0.027,0.028,0.036,0.016,0.032,0.032,0.016,0.021,0.021,0.053,0.009,0.031,0.006,0.043,0.021,0.027,0.029
"No sabe",0.032,0.025,0.04,0.042,0.039,0.015,0.032,0.038,0.039,0.017,0.025,0.017,0.027,0.007,0.052,0.013,0.052,0.008,0.03,0.035
