"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Siempre",0.209,0.279,0.141,0.305,0.152,0.162,0.218,0.328,0.115,0.196,0.231,0.191,0.191,0.284,0.212,0.08,0.087
"Casi siempre",0.236,0.217,0.255,0.112,0.256,0.364,0.3,0.132,0.27,0.35,0.232,0.258,0.233,0.273,0.301,0.137,0.08
"Casi nunca",0.308,0.258,0.357,0.244,0.331,0.355,0.333,0.24,0.384,0.269,0.312,0.298,0.309,0.294,0.388,0.677,0.228
"Nunca, pero esta es una excepción",0.247,0.246,0.247,0.339,0.261,0.119,0.149,0.3,0.231,0.185,0.225,0.253,0.267,0.149,0.099,0.106,0.605
