"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.35,0.35,0.42,0.46,0.466,0.408,0.407,0.329,0.031,0.076
"P05","Bastante",0.373,0.303,0.494,0.351,0.244,0.251,0.162,0.049,0.136,0.074
"P05","Poco",0.174,0.163,0.086,0.124,0.246,0.188,0.158,0.183,0.563,0.24
"P05","Nada",0.085,0.114,0,0.065,0.041,0.153,0.229,0.335,0.257,0.503
"P05","No sabe",0.018,0.07,0,0,0.003,0,0.044,0.104,0.013,0.107
"P06","Siempre",0.279,0.156,0.183,0.288,0.327,0.243,0.224,0.048,0.031,0.011
"P06","Casi siempre",0.263,0.345,0.37,0.327,0.333,0.221,0.227,0.198,0.013,0.077
"P06","Casi nunca",0.338,0.253,0.388,0.274,0.244,0.34,0.289,0.396,0.461,0.362
"P06","Nunca, pero esta es una excepción",0.12,0.246,0.059,0.111,0.096,0.196,0.26,0.358,0.495,0.55
"P08","Unión por la Patria",0.675,0.51,0.307,0.447,0.228,0.082,0.346,0.027,0.047,0.027
"P08","Juntos por el Cambio",0.163,0.204,0.239,0.085,0.661,0.712,0.083,0.01,0,0.049
"P08","De los Liberales libertarios",0.019,0.08,0.051,0.011,0.053,0.005,0.488,0,0,0.045
"P08","De la Izquierda",0.038,0.013,0.194,0.21,0,0.017,0.008,0.272,0.03,0.012
"P08","Hacemos por nuestro país",0.028,0.003,0,0.124,0.021,0,0.019,0,0.013,0.068
"P08","Otro.",0.027,0.009,0.072,0.04,0.013,0.02,0.01,0.013,0.737,0.133
"P08","En blanco",0.004,0.005,0,0.04,0.005,0.075,0.003,0,0,0.222
"P08","No sabe",0.046,0.176,0.137,0.043,0.019,0.089,0.043,0.678,0.173,0.444
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.634,0.2,0.046,0,0.083,0.105,0.224,0.192,0,0.062
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.075,0.073,0.755,0.17,0.003,0.058,0.036,0.014,0,0
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.034,0.501,0.121,0.799,0.07,0.038,0.072,0,0,0.075
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.119,0.029,0.047,0,0.627,0.066,0.103,0,0,0.021
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.063,0.05,0.021,0,0.09,0.553,0.007,0.071,0,0
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.038,0.109,0,0,0.102,0.073,0.545,0,0.036,0.014
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.014,0.007,0,0.031,0.005,0,0,0.392,0,0.036
"P12","Otros",0.018,0,0,0,0.005,0.091,0.002,0.127,0.495,0.043
"P12","No sabe",0.005,0.031,0.01,0,0.015,0.016,0.011,0.204,0.469,0.749
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.723,0.273,0.132,0.061,0.115,0.046,0.143,0,0,0.053
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.038,0.072,0.467,0.246,0.026,0.137,0.04,0.228,0,0
"P15","Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.028,0.49,0.106,0.605,0.018,0.034,0.055,0,0,0.086
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.072,0.037,0.071,0.021,0.621,0.026,0.056,0.081,0,0.016
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.084,0.041,0.213,0.007,0.113,0.555,0.053,0.016,0,0.015
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.034,0.055,0,0.023,0.074,0.136,0.635,0.068,0.037,0
"P15","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.007,0,0.031,0.002,0,0,0.441,0,0.05
"P15","Otros",0,0.005,0,0.006,0,0.019,0.009,0.021,0.265,0.096
