"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Mucho",0.349,0.418,0.284,0.357,0.321,0.371,0.392,0.403,0.286,0.387,0.371,0.323,0.338,0.394,0.359,0.578,0.433
"Bastante",0.234,0.206,0.26,0.141,0.262,0.309,0.267,0.162,0.261,0.303,0.218,0.272,0.235,0.287,0.293,0.061,0.103
"Poco",0.187,0.176,0.197,0.169,0.206,0.178,0.183,0.162,0.227,0.145,0.181,0.193,0.19,0.157,0.266,0.147,0.015
"Nada",0.18,0.148,0.21,0.255,0.166,0.12,0.118,0.202,0.188,0.123,0.19,0.142,0.184,0.131,0.07,0.181,0.282
"No sabe",0.05,0.052,0.049,0.078,0.045,0.022,0.04,0.071,0.038,0.042,0.04,0.07,0.053,0.031,0.012,0.033,0.167
