"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro.","En blanco","No sabe"
"P05","Mucho",0.513,0.404,0.286,0.276,0.167,0.05,0.08,0.178
"P05","Bastante",0.272,0.251,0.215,0.244,0.365,0.159,0.06,0.23
"P05","Poco",0.136,0.256,0.177,0.193,0.126,0.379,0.113,0.191
"P05","Nada",0.062,0.073,0.259,0.24,0.231,0.318,0.747,0.302
"P05","No sabe",0.017,0.016,0.063,0.047,0.111,0.094,0,0.099
"P06","Siempre",0.35,0.253,0.141,0.1,0.103,0.076,0.066,0.03
"P06","Casi siempre",0.304,0.262,0.266,0.161,0.382,0.09,0.169,0.155
"P06","Casi nunca",0.253,0.35,0.266,0.443,0.195,0.443,0.318,0.324
"P06","Nunca, pero esta es una excepción",0.093,0.135,0.327,0.296,0.32,0.391,0.447,0.491
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.419,0.118,0.036,0.213,0.239,0.13,0.029,0.087
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.155,0.072,0.075,0.037,0.013,0.022,0.016,0.162
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.029,0.026,0.015,0.168,0,0.052,0,0.039
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.062,0.014,0.004,0.267,0.234,0.042,0.059,0.018
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.129,0.435,0.093,0,0.159,0.055,0.033,0.033
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.027,0.273,0.005,0.05,0,0.052,0.267,0.089
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.168,0.047,0.738,0.037,0.122,0.038,0.018,0.063
"P09","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.002,0.001,0,0.185,0,0.007,0,0.152
"P09","Otros",0.003,0,0,0.017,0.011,0.356,0,0.033
"P09","No sabe",0.006,0.014,0.034,0.026,0.222,0.246,0.578,0.324
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.52,0.048,0.073,0.15,0.247,0.194,0,0.103
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.042,0.063,0.126,0.19,0.296,0.034,0.038,0.078
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.207,0.099,0.038,0.255,0,0.067,0.047,0.108
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.083,0.438,0.073,0.036,0.212,0.106,0,0.037
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.033,0.239,0.028,0,0.177,0.037,0.305,0.046
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.099,0.073,0.654,0.109,0.054,0,0.019,0.026
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.009,0.002,0.003,0.223,0,0,0.019,0.03
"P12","Otros",0.001,0.02,0.002,0.016,0,0.281,0,0.141
"P12","No sabe",0.006,0.018,0.003,0.021,0.014,0.281,0.572,0.431
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.495,0.096,0.08,0.196,0.124,0.068,0.124,0.186
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.088,0.051,0.046,0.188,0.276,0,0.02,0.099
"P15","Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.19,0.047,0.036,0.267,0.053,0.079,0,0.088
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.083,0.368,0.085,0.006,0.187,0.09,0,0.031
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.023,0.319,0.065,0.074,0.17,0.057,0.063,0.082
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.113,0.083,0.659,0.021,0.162,0.07,0.037,0.033
"P15","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.001,0,0,0.231,0,0,0.019,0.043
"P15","Otros",0.002,0.003,0.013,0.017,0.014,0.223,0,0.057
"P15","No sabe",0.005,0.033,0.016,0,0.014,0.413,0.737,0.381
"P18","Lo votaría",0.678,0.105,0.128,0.15,0.304,0.045,0.023,0.267
"P18","Puede que lo vote",0.098,0.054,0.069,0.141,0.155,0.178,0.115,0.107
"P18","Nunca lo votaría",0.167,0.795,0.796,0.594,0.501,0.504,0.643,0.31
"P18","No sabe",0.057,0.046,0.007,0.115,0.04,0.273,0.219,0.316
"P19","Lo votaría",0.423,0.08,0.045,0.057,0.051,0.009,0.022,0.146
"P19","Puede que lo vote",0.228,0.052,0.013,0.597,0.269,0.18,0.091,0.045
"P19","Nunca lo votaría",0.28,0.856,0.921,0.273,0.63,0.444,0.806,0.449
"P19","No sabe",0.069,0.012,0.021,0.073,0.05,0.367,0.081,0.36
"P20","Lo votaría",0.509,0.095,0.034,0,0.02,0.191,0.022,0.252
"P20","Puede que lo vote",0.264,0.088,0.053,0.234,0.191,0.133,0.068,0.135
"P20","Nunca lo votaría",0.171,0.795,0.859,0.647,0.731,0.571,0.765,0.287
"P20","No sabe",0.056,0.022,0.054,0.119,0.058,0.105,0.145,0.326
"P21","Lo votaría",0.466,0.138,0.018,0.309,0.044,0.057,0.023,0.215
"P21","Puede que lo vote",0.179,0.012,0.021,0.27,0.216,0.111,0.045,0.051
"P21","Nunca lo votaría",0.281,0.812,0.86,0.318,0.725,0.554,0.722,0.376
