"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.603,0.286,0.301,0.272
"P05","Bastante",0.175,0.405,0.318,0.228
"P05","Poco",0.12,0.19,0.216,0.242
"P05","Nada",0.096,0.119,0.142,0.147
"P05","No sabe",0.006,0,0.023,0.111
"P06","Siempre",0.466,0.167,0.153,0.17
"P06","Casi siempre",0.155,0.479,0.317,0.144
"P06","Casi nunca",0.239,0.192,0.327,0.322
"P06","Nunca, pero esta es una excepción",0.14,0.162,0.203,0.364
"P08","Unión por la Patria",0.674,0.665,0.182,0.251
"P08","Juntos por el Cambio",0.17,0.04,0.449,0.109
"P08","De los Liberales libertarios",0.008,0.024,0.174,0.107
"P08","De la Izquierda",0.049,0.111,0.023,0.038
"P08","Hacemos por nuestro país",0.004,0.047,0.027,0.003
"P08","Otro.",0.01,0.049,0.043,0.112
"P08","En blanco",0.002,0.014,0.037,0.057
"P08","No sabe",0.083,0.05,0.065,0.323
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.265,0.39,0.155,0.234
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.152,0.138,0.073,0.052
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.049,0.073,0.018,0.062
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.119,0.059,0.02,0.04
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.164,0.029,0.284,0.031
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.071,0.131,0.153,0.031
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.141,0.067,0.189,0.144
"P09","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.039,0.004,0.018,0.004
"P09","Otros",0,0.021,0.029,0.087
"P09","No sabe",0,0.088,0.061,0.315
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.287,0.49,0.151,0.272
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.112,0.079,0.041,0.13
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.319,0.141,0.052,0.069
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.108,0.071,0.289,0.062
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.018,0.025,0.179,0.025
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.13,0.063,0.164,0.08
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.02,0.045,0.017,0
"P12","Otros",0,0.021,0.035,0.05
"P12","No sabe",0.006,0.065,0.072,0.312
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.289,0.513,0.187,0.338
