"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.213,0.239,0.188,0.142,0.261,0.231,0.21,0.181,0.23,0.234,0.198,0.19,0.239,0.294,0.138,0.086,0.226
"Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.104,0.071,0.136,0.111,0.085,0.119,0.126,0.114,0.101,0.093,0.107,0.151,0.081,0.148,0.033,0.056,0.19
"Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.032,0.026,0.038,0.031,0.034,0.039,0.019,0.034,0.037,0.021,0.033,0.011,0.04,0.049,0.006,0,0.054
"Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.048,0.052,0.043,0.055,0.047,0.054,0.02,0.059,0.037,0.05,0.064,0.035,0.034,0.062,0,0,0.086
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.194,0.228,0.162,0.172,0.146,0.268,0.301,0.204,0.145,0.281,0.191,0.217,0.188,0.12,0.427,0.303,0
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.113,0.094,0.131,0.122,0.111,0.089,0.135,0.121,0.109,0.108,0.115,0.092,0.12,0.078,0.204,0.064,0.159
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.166,0.207,0.128,0.234,0.172,0.095,0.081,0.191,0.162,0.132,0.155,0.155,0.184,0.168,0.132,0.192,0.193
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.025,0.016,0.035,0.018,0.031,0.026,0.023,0.012,0.04,0.018,0.034,0.029,0.015,0.012,0.017,0.172,0.08
"Otros",0.022,0.022,0.021,0.04,0.018,0.01,0.004,0.012,0.034,0.011,0.023,0.025,0.019,0.004,0.003,0,0
"No sabe",0.083,0.045,0.118,0.075,0.095,0.069,0.081,0.072,0.105,0.052,0.08,0.095,0.08,0.065,0.04,0.127,0.012
