"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco"
"P08","Totalmente seguro",0.029,0.149,0.006
"P08","Bastante seguro",0.175,0.118,0.011
"P08","Algo seguro",0.642,0.216,0.217
"P08","Para nada seguro",0.154,0.517,0.766
"P09","Tiene Decidido que va a ir a votar",0.558,0.721,0.208
"P09","Tiene dudas sobre si va a ir a  votar",0.385,0.145,0.261
"P09","Tiene Decidido que no va a ir a votar",0.057,0.134,0.531
"P10","Lo votaría",0.175,0.215,0.003
"P10","Puede que lo vote",0.532,0.091,0.259
"P10","Nunca lo votaría",0.064,0.67,0.376
"P10","No sabe",0.229,0.024,0.362
"P11","Lo votaría",0,0.482,0
"P11","Puede que lo vote",0.058,0.477,0.272
"P11","Nunca lo votaría",0.649,0.003,0.178
"P11","No sabe",0.293,0.038,0.55
