"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.177,0.253,0.171
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.733,0.473,0.333
"P06","En blanco",0.058,0.123,0.184
"P06","Aun no tengo decidido mi voto",0.032,0.151,0.312
"P08","Totalmente seguro",0.785,0.263,0.35
"P08","Bastante seguro",0.103,0.31,0.148
"P08","Algo seguro",0.059,0.215,0.292
"P08","Para nada seguro",0.053,0.212,0.21
"P10","Lo votaría",0.187,0.143,0.241
"P10","Puede que lo vote",0.048,0.248,0.178
"P10","Nunca lo votaría",0.75,0.528,0.535
"P10","No sabe",0.015,0.081,0.046
"P11","Lo votaría",0.672,0.232,0.268
"P11","Puede que lo vote",0.101,0.363,0.255
"P11","Nunca lo votaría",0.21,0.281,0.373
"P11","No sabe",0.017,0.124,0.104
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.237,0.187,0.503
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.763,0.813,0.497
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.037,0.072,0.008
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.833,0.47,0.314
"P14","En blanco",0.13,0.458,0.678
