"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro",0.741,0.741,0.742,0.785,0.751,0.734,0.697,0.712,0.768,0.738,0.738,0.737,0.755,0.745
"Bastante seguro",0.116,0.128,0.104,0.092,0.115,0.108,0.147,0.141,0.101,0.109,0.119,0.132,0.095,0.108
"Algo seguro",0.073,0.073,0.073,0.076,0.069,0.076,0.072,0.067,0.064,0.089,0.071,0.083,0.076,0.07
"Para nada seguro",0.07,0.058,0.081,0.047,0.065,0.082,0.084,0.08,0.067,0.064,0.072,0.048,0.074,0.077
