"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.212,0.236,0.188,0.207,0.192,0.256,0.208,0.213,0.203,0.225,0.144,0.34,0.117,0.067,0.38,0.247,0.186,0.189,6
"Buena",0.154,0.157,0.151,0.157,0.135,0.164,0.19,0.117,0.181,0.154,0.12,0.265,0.104,0.054,0.267,0.159,0.154,0.146,6
"Ni buena ni mala",0.197,0.18,0.215,0.218,0.189,0.186,0.207,0.258,0.206,0.113,0.229,0.174,0.158,0.15,0.182,0.204,0.171,0.216,6
"Mala",0.165,0.174,0.155,0.171,0.169,0.152,0.159,0.188,0.169,0.131,0.214,0.11,0.182,0.265,0.069,0.167,0.169,0.157,6
"Muy mala",0.258,0.246,0.27,0.229,0.305,0.227,0.219,0.208,0.225,0.37,0.285,0.097,0.427,0.457,0.09,0.213,0.303,0.276,6
"No sabe",0.014,0.007,0.021,0.018,0.01,0.015,0.017,0.016,0.016,0.007,0.008,0.014,0.012,0.007,0.012,0.01,0.017,0.016,6
"Positiva",0.366,0.393,0.339,0.364,0.327,0.42,0.398,0.33,0.384,0.379,0.264,0.605,0.221,0.121,0.647,0.406,0.34,0.335,4
"Neutra",0.197,0.18,0.215,0.218,0.189,0.186,0.207,0.258,0.206,0.113,0.229,0.174,0.158,0.15,0.182,0.204,0.171,0.216,4
"Negativa",0.423,0.42,0.425,0.4,0.474,0.379,0.378,0.396,0.394,0.501,0.499,0.207,0.609,0.722,0.159,0.38,0.472,0.433,4
"No sabe",0.014,0.007,0.021,0.018,0.01,0.015,0.017,0.016,0.016,0.007,0.008,0.014,0.012,0.007,0.012,0.01,0.017,0.016,4
