"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.277,0.278,0.276,0.33,0.266,0.28,0.242,0.22,0.329,0.255,0.189,0.471,0.042,0.071,0.496,0.321,0.226,0.268,6
"Buena",0.138,0.146,0.129,0.13,0.119,0.14,0.19,0.147,0.118,0.155,0.112,0.212,0.066,0.035,0.213,0.147,0.123,0.141,6
"Ni buena ni mala",0.094,0.104,0.083,0.061,0.099,0.1,0.108,0.125,0.09,0.075,0.115,0.071,0.071,0.082,0.09,0.094,0.113,0.076,6
"Mala",0.13,0.12,0.141,0.143,0.123,0.141,0.118,0.131,0.146,0.11,0.157,0.079,0.218,0.199,0.076,0.126,0.134,0.131,6
"Muy mala",0.351,0.349,0.352,0.336,0.379,0.33,0.327,0.36,0.306,0.401,0.417,0.162,0.595,0.609,0.122,0.296,0.393,0.382,6
"No sabe",0.01,0.003,0.019,0,0.014,0.009,0.015,0.017,0.011,0.004,0.01,0.005,0.008,0.004,0.003,0.016,0.011,0.002,6
"Positiva",0.415,0.424,0.405,0.46,0.385,0.42,0.432,0.367,0.447,0.41,0.301,0.683,0.108,0.106,0.709,0.468,0.349,0.409,4
"Neutra",0.094,0.104,0.083,0.061,0.099,0.1,0.108,0.125,0.09,0.075,0.115,0.071,0.071,0.082,0.09,0.094,0.113,0.076,4
"Negativa",0.481,0.469,0.493,0.479,0.502,0.471,0.445,0.491,0.452,0.511,0.574,0.241,0.813,0.808,0.198,0.422,0.527,0.513,4
"No sabe",0.01,0.003,0.019,0,0.014,0.009,0.015,0.017,0.011,0.004,0.01,0.005,0.008,0.004,0.003,0.016,0.011,0.002,4
