"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Victoria Villarruel","Positiva",0.453,0.476,0.427,0.507,0.442,0.402,0.504,0.379,0.511,0.438,0.334,0.779,0.109,0.117,0.762,0.504,0.379,0.459
"Victoria Villarruel","Neutra",0.125,0.128,0.123,0.095,0.089,0.186,0.152,0.197,0.112,0.084,0.16,0.085,0.128,0.136,0.117,0.117,0.14,0.122
"Victoria Villarruel","Negativa",0.402,0.383,0.424,0.378,0.452,0.404,0.3,0.402,0.348,0.474,0.481,0.115,0.753,0.723,0.12,0.354,0.47,0.398
"Victoria Villarruel","No sabe",0.02,0.013,0.026,0.02,0.017,0.008,0.044,0.022,0.029,0.004,0.025,0.021,0.01,0.024,0.001,0.025,0.011,0.021
"Patricia Bullrich","Positiva",0.427,0.415,0.442,0.448,0.395,0.42,0.502,0.373,0.484,0.4,0.322,0.747,0.086,0.111,0.712,0.478,0.346,0.442
"Patricia Bullrich","Neutra",0.112,0.142,0.078,0.115,0.127,0.091,0.102,0.129,0.104,0.107,0.116,0.104,0.088,0.078,0.132,0.099,0.122,0.117
"Patricia Bullrich","Negativa",0.456,0.441,0.471,0.437,0.473,0.483,0.387,0.494,0.403,0.492,0.555,0.144,0.819,0.808,0.155,0.417,0.523,0.441
"Patricia Bullrich","No sabe",0.005,0.002,0.009,0,0.005,0.006,0.009,0.004,0.009,0.001,0.007,0.005,0.007,0.003,0.001,0.006,0.009,0
"Javier Milei","Positiva",0.415,0.424,0.405,0.46,0.385,0.42,0.432,0.367,0.447,0.41,0.301,0.683,0.108,0.106,0.709,0.468,0.349,0.409
"Javier Milei","Neutra",0.094,0.104,0.083,0.061,0.099,0.1,0.108,0.125,0.09,0.075,0.115,0.071,0.071,0.082,0.09,0.094,0.113,0.076
"Javier Milei","Negativa",0.481,0.469,0.493,0.479,0.502,0.471,0.445,0.491,0.452,0.511,0.574,0.241,0.813,0.808,0.198,0.422,0.527,0.513
"Javier Milei","No sabe",0.01,0.003,0.019,0,0.014,0.009,0.015,0.017,0.011,0.004,0.01,0.005,0.008,0.004,0.003,0.016,0.011,0.002
"Aníbal Tortoriello","Positiva",0.286,0.279,0.294,0.251,0.255,0.333,0.329,0.288,0.305,0.262,0.224,0.582,0.2,0.146,0.452,0.345,0.245,0.249
"Aníbal Tortoriello","Neutra",0.321,0.327,0.315,0.33,0.332,0.297,0.325,0.266,0.36,0.318,0.403,0.239,0.263,0.348,0.294,0.272,0.343,0.366
"Aníbal Tortoriello","Negativa",0.337,0.351,0.321,0.361,0.368,0.31,0.275,0.372,0.278,0.381,0.309,0.15,0.522,0.452,0.212,0.339,0.343,0.327
"Aníbal Tortoriello","No sabe",0.056,0.043,0.07,0.058,0.045,0.06,0.071,0.074,0.057,0.039,0.064,0.029,0.015,0.054,0.042,0.044,0.069,0.058
"Juan Schiaretti","Positiva",0.257,0.254,0.26,0.253,0.249,0.24,0.309,0.253,0.258,0.26,0.209,0.407,0.097,0.109,0.366,0.26,0.283,0.227
"Juan Schiaretti","Neutra",0.396,0.403,0.389,0.405,0.397,0.417,0.352,0.376,0.422,0.38,0.406,0.41,0.36,0.354,0.459,0.389,0.346,0.456
"Juan Schiaretti","Negativa",0.305,0.3,0.309,0.277,0.319,0.307,0.292,0.337,0.256,0.339,0.339,0.146,0.526,0.486,0.153,0.301,0.319,0.295
"Juan Schiaretti","No sabe",0.042,0.043,0.042,0.065,0.035,0.036,0.047,0.034,0.064,0.021,0.046,0.037,0.017,0.051,0.022,0.05,0.052,0.022
"Alberto Weretilneck","Positiva",0.325,0.332,0.317,0.291,0.316,0.32,0.395,0.386,0.322,0.279,0.528,0.226,0.275,0.402,0.218,0.303,0.32,0.36
"Alberto Weretilneck","Neutra",0.277,0.254,0.302,0.302,0.243,0.296,0.304,0.268,0.273,0.288,0.282,0.224,0.33,0.285,0.287,0.255,0.309,0.274
"Alberto Weretilneck","Negativa",0.386,0.401,0.369,0.383,0.432,0.373,0.29,0.336,0.388,0.425,0.19,0.543,0.393,0.302,0.481,0.428,0.371,0.343
"Alberto Weretilneck","No sabe",0.012,0.013,0.012,0.024,0.009,0.011,0.011,0.01,0.017,0.008,0,0.007,0.002,0.011,0.014,0.014,0,0.023
"María Emilia Soria","Positiva",0.299,0.297,0.3,0.234,0.322,0.291,0.321,0.336,0.278,0.294,0.356,0.114,0.576,0.472,0.149,0.293,0.361,0.244
"María Emilia Soria","Neutra",0.271,0.264,0.279,0.338,0.256,0.257,0.261,0.284,0.285,0.242,0.334,0.246,0.179,0.303,0.251,0.243,0.272,0.309
"María Emilia Soria","Negativa",0.393,0.413,0.371,0.364,0.399,0.428,0.35,0.338,0.394,0.437,0.274,0.611,0.239,0.188,0.569,0.43,0.338,0.396
"María Emilia Soria","No sabe",0.037,0.026,0.05,0.064,0.023,0.024,0.068,0.042,0.043,0.027,0.036,0.029,0.006,0.037,0.031,0.034,0.029,0.051
"CFK","Positiva",0.354,0.34,0.369,0.343,0.382,0.322,0.345,0.416,0.313,0.355,0.442,0.162,0.561,0.672,0.114,0.312,0.412,0.351
"CFK","Neutra",0.112,0.129,0.094,0.094,0.125,0.1,0.118,0.145,0.112,0.085,0.146,0.067,0.118,0.146,0.059,0.111,0.139,0.087
"CFK","Negativa",0.522,0.521,0.523,0.558,0.476,0.571,0.521,0.419,0.562,0.555,0.404,0.759,0.317,0.18,0.809,0.556,0.446,0.552
"CFK","No sabe",0.012,0.01,0.014,0.005,0.017,0.007,0.016,0.02,0.013,0.005,0.008,0.012,0.004,0.002,0.018,0.021,0.003,0.01
"Axel Kicillof","Positiva",0.347,0.341,0.353,0.366,0.351,0.328,0.346,0.363,0.3,0.394,0.419,0.128,0.714,0.663,0.105,0.335,0.385,0.325
"Axel Kicillof","Neutra",0.106,0.128,0.083,0.048,0.14,0.1,0.093,0.142,0.108,0.076,0.136,0.072,0.071,0.136,0.081,0.102,0.127,0.092
"Axel Kicillof","Negativa",0.526,0.515,0.537,0.561,0.494,0.553,0.525,0.481,0.558,0.521,0.407,0.788,0.213,0.176,0.805,0.545,0.452,0.573
"Axel Kicillof","No sabe",0.021,0.016,0.027,0.025,0.015,0.019,0.036,0.014,0.034,0.009,0.038,0.012,0.002,0.025,0.009,0.018,0.036,0.01
"Sergio Massa","Positiva",0.263,0.255,0.272,0.31,0.257,0.242,0.264,0.303,0.234,0.269,0.336,0.121,0.374,0.507,0.062,0.249,0.271,0.274
"Sergio Massa","Neutra",0.194,0.205,0.181,0.157,0.224,0.16,0.209,0.234,0.197,0.156,0.237,0.095,0.325,0.288,0.113,0.191,0.227,0.164
"Sergio Massa","Negativa",0.531,0.532,0.531,0.528,0.51,0.579,0.513,0.449,0.554,0.57,0.414,0.776,0.301,0.198,0.813,0.547,0.489,0.553
"Sergio Massa","No sabe",0.012,0.008,0.016,0.005,0.009,0.019,0.014,0.014,0.015,0.005,0.013,0.008,0,0.007,0.012,0.013,0.013,0.009
"Mauricio Macri","Positiva",0.245,0.247,0.243,0.218,0.225,0.246,0.319,0.22,0.274,0.228,0.18,0.459,0.064,0.108,0.361,0.271,0.213,0.242
