"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.035,0.034,0.038,0.024,0.031,0.043,0.047,0.052,0.042,0.013,0.06,0.022,0.004,0.045,0.032,0.033,0.05,0.024,6
"Buena",0.093,0.082,0.105,0.094,0.087,0.083,0.125,0.125,0.092,0.068,0.141,0.059,0.1,0.078,0.103,0.083,0.118,0.081,6
"Ni buena ni mala",0.322,0.354,0.287,0.299,0.306,0.306,0.414,0.31,0.359,0.284,0.353,0.337,0.401,0.291,0.339,0.304,0.348,0.32,6
"Mala",0.36,0.341,0.381,0.409,0.358,0.383,0.272,0.304,0.343,0.429,0.323,0.379,0.309,0.386,0.373,0.375,0.29,0.411,6
"Muy mala",0.164,0.163,0.164,0.164,0.191,0.146,0.122,0.178,0.138,0.186,0.111,0.171,0.166,0.168,0.137,0.178,0.169,0.139,6
"No sabe",0.026,0.026,0.025,0.01,0.027,0.039,0.02,0.031,0.026,0.02,0.012,0.032,0.02,0.032,0.016,0.027,0.025,0.025,6
"Positiva",0.128,0.116,0.143,0.118,0.118,0.126,0.172,0.177,0.134,0.081,0.201,0.081,0.104,0.123,0.135,0.116,0.168,0.105,4
"Neutra",0.322,0.354,0.287,0.299,0.306,0.306,0.414,0.31,0.359,0.284,0.353,0.337,0.401,0.291,0.339,0.304,0.348,0.32,4
"Negativa",0.524,0.504,0.545,0.573,0.549,0.529,0.394,0.482,0.481,0.615,0.434,0.55,0.475,0.554,0.51,0.553,0.459,0.55,4
"No sabe",0.026,0.026,0.025,0.01,0.027,0.039,0.02,0.031,0.026,0.02,0.012,0.032,0.02,0.032,0.016,0.027,0.025,0.025,4
