"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Oponerse totalmente",0.356,0.351,0.363,0.355,0.369,0.356,0.325,0.365,0.334,0.379,0.443,0.098,0.588,0.588,0.142,0.333,0.411,0.332
"Oponerse parcialmente",0.138,0.129,0.147,0.143,0.144,0.109,0.162,0.155,0.138,0.122,0.179,0.076,0.216,0.195,0.078,0.118,0.151,0.151
"Apoyar parcialmente",0.258,0.263,0.252,0.252,0.215,0.305,0.3,0.249,0.271,0.248,0.2,0.446,0.122,0.113,0.391,0.274,0.229,0.265
"Apoyar totalmente",0.199,0.216,0.179,0.213,0.21,0.19,0.168,0.15,0.205,0.233,0.121,0.342,0.054,0.035,0.367,0.229,0.169,0.188
"No sabe",0.049,0.041,0.059,0.037,0.062,0.04,0.045,0.081,0.052,0.018,0.057,0.038,0.02,0.069,0.022,0.046,0.04,0.064
