"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.124,0.144,0.101,0.097,0.132,0.114,0.148,0.145,0.122,0.109,0.16,0.026,0.223,0.227,0.041,0.12,0.162,0.091,6
"Buena",0.175,0.153,0.199,0.137,0.19,0.177,0.173,0.191,0.156,0.185,0.196,0.088,0.353,0.245,0.108,0.173,0.199,0.153,6
"Ni buena ni mala",0.271,0.264,0.279,0.338,0.256,0.257,0.261,0.284,0.285,0.242,0.334,0.246,0.179,0.303,0.251,0.243,0.272,0.309,6
"Mala",0.229,0.23,0.228,0.22,0.231,0.245,0.205,0.206,0.249,0.222,0.194,0.319,0.168,0.132,0.326,0.239,0.197,0.246,6
"Muy mala",0.164,0.183,0.143,0.144,0.168,0.183,0.145,0.132,0.145,0.215,0.08,0.292,0.071,0.056,0.243,0.191,0.141,0.15,6
"No sabe",0.037,0.026,0.05,0.064,0.023,0.024,0.068,0.042,0.043,0.027,0.036,0.029,0.006,0.037,0.031,0.034,0.029,0.051,6
"Positiva",0.299,0.297,0.3,0.234,0.322,0.291,0.321,0.336,0.278,0.294,0.356,0.114,0.576,0.472,0.149,0.293,0.361,0.244,4
"Neutra",0.271,0.264,0.279,0.338,0.256,0.257,0.261,0.284,0.285,0.242,0.334,0.246,0.179,0.303,0.251,0.243,0.272,0.309,4
"Negativa",0.393,0.413,0.371,0.364,0.399,0.428,0.35,0.338,0.394,0.437,0.274,0.611,0.239,0.188,0.569,0.43,0.338,0.396,4
"No sabe",0.037,0.026,0.05,0.064,0.023,0.024,0.068,0.042,0.043,0.027,0.036,0.029,0.006,0.037,0.031,0.034,0.029,0.051,4
