"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.222,0.222,0.222,0.164,0.211,0.215,0.325,0.174,0.263,0.209,0.14,0.417,0.04,0.052,0.416,0.235,0.208,0.219,6
"Buena",0.205,0.193,0.22,0.284,0.184,0.205,0.177,0.199,0.221,0.191,0.182,0.33,0.046,0.059,0.296,0.243,0.138,0.223,6
"Ni buena ni mala",0.112,0.142,0.078,0.115,0.127,0.091,0.102,0.129,0.104,0.107,0.116,0.104,0.088,0.078,0.132,0.099,0.122,0.117,6
"Mala",0.106,0.106,0.105,0.067,0.112,0.129,0.093,0.111,0.108,0.098,0.148,0.035,0.127,0.17,0.048,0.099,0.126,0.095,6
"Muy mala",0.35,0.335,0.366,0.37,0.361,0.354,0.294,0.383,0.295,0.394,0.407,0.109,0.692,0.638,0.107,0.318,0.397,0.346,6
"No sabe",0.005,0.002,0.009,0,0.005,0.006,0.009,0.004,0.009,0.001,0.007,0.005,0.007,0.003,0.001,0.006,0.009,0,6
"Positiva",0.427,0.415,0.442,0.448,0.395,0.42,0.502,0.373,0.484,0.4,0.322,0.747,0.086,0.111,0.712,0.478,0.346,0.442,4
"Neutra",0.112,0.142,0.078,0.115,0.127,0.091,0.102,0.129,0.104,0.107,0.116,0.104,0.088,0.078,0.132,0.099,0.122,0.117,4
"Negativa",0.456,0.441,0.471,0.437,0.473,0.483,0.387,0.494,0.403,0.492,0.555,0.144,0.819,0.808,0.155,0.417,0.523,0.441,4
"No sabe",0.005,0.002,0.009,0,0.005,0.006,0.009,0.004,0.009,0.001,0.007,0.005,0.007,0.003,0.001,0.006,0.009,0,4
