codigo	bloque	paleta	texto	label	aclaracion
P06	Escenarios políticos	politica	Si las elecciones a Intendente del Municipio de Cutral Co fuese. Mañana Ud. a quién votaría.	Intención de voto por candidatos a intendente
P08	Reach de candidatos	votaria	Si Rubén Ojito García fuese candidato a intendente, ud...	Intención de voto por Rubén "Ojito" García para Intendente
P09	Reach de candidatos	votaria	Si Ramón Rioseco fuese candidato a intendente, ud...	Intención de voto por Ramón Rioseco para Intendente
