"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Peor",0.422,0.399,0.445,0.381,0.465,0.468,0.309,0.5,0.325,0.501,0.422,0.344,0.637,0.578,0.35,0,0,0
"Igual",0.283,0.259,0.306,0.148,0.335,0.281,0.388,0.243,0.309,0.285,0.27,0.426,0.23,0.292,0.309,0,0,0
"Mejor",0.191,0.253,0.131,0.308,0.147,0.118,0.213,0.196,0.213,0.147,0.243,0.185,0.086,0.06,0.217,0,0,0
"No sabe",0.104,0.089,0.118,0.163,0.053,0.133,0.09,0.061,0.153,0.067,0.065,0.045,0.047,0.07,0.124,0,0,0
