"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Juan Schiaretti","Muy buena",0.121,0.101,0.141,0.136,0.104,0.154,0.093,0.191,0.08,0.11,0.145,0.099,0.194,0.126,0.132,0,0,0
"Juan Schiaretti","Buena",0.154,0.15,0.158,0.147,0.155,0.125,0.208,0.048,0.222,0.162,0.083,0.374,0.069,0.06,0.244,0,0,0
"Juan Schiaretti","Ni buena ni mala",0.378,0.426,0.33,0.514,0.32,0.276,0.438,0.335,0.445,0.309,0.413,0.362,0.292,0.299,0.41,0,0,0
"Juan Schiaretti","Mala",0.162,0.125,0.198,0.155,0.134,0.233,0.144,0.206,0.11,0.2,0.169,0.069,0.166,0.222,0.116,0,0,0
"Juan Schiaretti","Muy mala",0.135,0.147,0.124,0.048,0.225,0.1,0.101,0.145,0.094,0.2,0.131,0.058,0.24,0.251,0.056,0,0,0
"Juan Schiaretti","No sabe",0.05,0.051,0.049,0,0.062,0.112,0.016,0.075,0.049,0.019,0.059,0.038,0.039,0.042,0.042,0,0,0
"Aníbal Tortoriello","Muy buena",0.167,0.116,0.217,0.219,0.112,0.209,0.161,0.271,0.134,0.095,0.178,0.243,0.188,0.208,0.152,0,0,0
"Aníbal Tortoriello","Buena",0.15,0.181,0.119,0.17,0.132,0.128,0.194,0.108,0.207,0.099,0.148,0.357,0.022,0.072,0.194,0,0,0
"Aníbal Tortoriello","Ni buena ni mala",0.312,0.326,0.299,0.218,0.293,0.4,0.419,0.291,0.301,0.359,0.363,0.273,0.309,0.276,0.332,0,0,0
"Aníbal Tortoriello","Mala",0.188,0.146,0.229,0.276,0.174,0.151,0.114,0.149,0.188,0.239,0.172,0.111,0.206,0.227,0.16,0,0,0
"Aníbal Tortoriello","Muy mala",0.134,0.148,0.121,0.062,0.234,0.074,0.079,0.133,0.108,0.183,0.088,0.016,0.255,0.195,0.104,0,0,0
"Aníbal Tortoriello","No sabe",0.049,0.083,0.015,0.055,0.055,0.038,0.033,0.048,0.062,0.025,0.051,0,0.02,0.022,0.058,0,0,0
"Victoria Villarruel","Muy buena",0.364,0.37,0.357,0.383,0.353,0.382,0.331,0.367,0.41,0.276,0.28,0.674,0.166,0.149,0.577,0,0,0
"Victoria Villarruel","Buena",0.123,0.145,0.101,0.105,0.107,0.131,0.186,0.071,0.136,0.162,0.113,0.189,0.058,0.036,0.159,0,0,0
"Victoria Villarruel","Ni buena ni mala",0.169,0.175,0.164,0.213,0.147,0.134,0.203,0.19,0.18,0.122,0.197,0.097,0.126,0.08,0.2,0,0,0
"Victoria Villarruel","Mala",0.113,0.085,0.141,0.124,0.117,0.092,0.113,0.168,0.084,0.098,0.135,0.009,0.137,0.205,0.037,0,0,0
"Victoria Villarruel","Muy mala",0.21,0.203,0.217,0.175,0.259,0.202,0.151,0.181,0.16,0.339,0.246,0.031,0.513,0.503,0.022,0,0,0
"Victoria Villarruel","No sabe",0.021,0.022,0.02,0,0.017,0.059,0.016,0.023,0.03,0.003,0.029,0,0,0.027,0.005,0,0,0
"María Emilia Soria","Muy buena",0.227,0.206,0.248,0.265,0.186,0.256,0.231,0.286,0.188,0.224,0.298,0.033,0.433,0.421,0.089,0,0,0
"María Emilia Soria","Buena",0.143,0.13,0.155,0.029,0.179,0.177,0.208,0.145,0.105,0.21,0.202,0.076,0.138,0.209,0.091,0,0,0
"María Emilia Soria","Ni buena ni mala",0.269,0.301,0.238,0.333,0.211,0.292,0.276,0.21,0.322,0.248,0.278,0.275,0.18,0.199,0.309,0,0,0
"María Emilia Soria","Mala",0.187,0.185,0.189,0.187,0.166,0.21,0.212,0.141,0.228,0.171,0.107,0.446,0.07,0.1,0.253,0,0,0
"María Emilia Soria","Muy mala",0.153,0.138,0.167,0.186,0.209,0.065,0.057,0.177,0.144,0.136,0.07,0.17,0.166,0.067,0.237,0,0,0
"María Emilia Soria","No sabe",0.021,0.04,0.003,0,0.049,0,0.016,0.041,0.013,0.011,0.045,0,0.013,0.004,0.021,0,0,0
"Patricia Bullrich","Muy buena",0.295,0.252,0.338,0.232,0.313,0.335,0.301,0.346,0.301,0.221,0.232,0.576,0.201,0.151,0.444,0,0,0
"Patricia Bullrich","Buena",0.189,0.243,0.137,0.277,0.137,0.173,0.199,0.12,0.233,0.195,0.164,0.272,0.013,0.05,0.277,0,0,0
"Patricia Bullrich","Ni buena ni mala",0.141,0.174,0.109,0.177,0.132,0.113,0.141,0.126,0.182,0.086,0.179,0.078,0.027,0.052,0.177,0,0,0
"Patricia Bullrich","Mala",0.131,0.129,0.133,0.124,0.144,0.095,0.167,0.235,0.086,0.085,0.16,0.049,0.078,0.17,0.079,0,0,0
"Patricia Bullrich","Muy mala",0.239,0.198,0.278,0.19,0.274,0.271,0.176,0.166,0.192,0.413,0.265,0.025,0.681,0.577,0.023,0,0,0
"Patricia Bullrich","No sabe",0.005,0.004,0.005,0,0,0.013,0.016,0.007,0.006,0,0,0,0,0,0,0,0,0
"Alberto Weretilneck","Muy buena",0.17,0.164,0.176,0.165,0.15,0.205,0.184,0.431,0.058,0.042,0.374,0.051,0.062,0.253,0.1,0,0,0
"Alberto Weretilneck","Buena",0.165,0.176,0.154,0.017,0.253,0.129,0.255,0.121,0.181,0.191,0.286,0.054,0.101,0.26,0.1,0,0,0
"Alberto Weretilneck","Ni buena ni mala",0.257,0.293,0.222,0.356,0.172,0.278,0.276,0.209,0.256,0.32,0.224,0.258,0.233,0.258,0.245,0,0,0
"Alberto Weretilneck","Mala",0.236,0.219,0.253,0.248,0.21,0.293,0.205,0.083,0.336,0.251,0.051,0.459,0.279,0.098,0.334,0,0,0
"Alberto Weretilneck","Muy mala",0.168,0.144,0.192,0.214,0.211,0.095,0.065,0.15,0.169,0.189,0.065,0.178,0.312,0.127,0.221,0,0,0
"Alberto Weretilneck","No sabe",0.004,0.004,0.003,0,0.004,0,0.015,0.006,0,0.007,0,0,0.013,0.004,0,0,0,0
"Javier Milei","Muy buena",0.337,0.334,0.339,0.338,0.351,0.35,0.274,0.322,0.34,0.35,0.248,0.644,0.204,0.152,0.521,0,0,0
"Javier Milei","Buena",0.136,0.194,0.079,0.164,0.126,0.084,0.193,0.097,0.179,0.106,0.147,0.124,0.013,0.04,0.172,0,0,0
"Javier Milei","Ni buena ni mala",0.096,0.112,0.082,0.067,0.071,0.144,0.152,0.092,0.121,0.058,0.12,0.088,0.027,0.031,0.102,0,0,0
"Javier Milei","Mala",0.17,0.148,0.191,0.233,0.135,0.154,0.172,0.313,0.119,0.082,0.262,0.062,0.078,0.245,0.104,0,0,0
"Javier Milei","Muy mala",0.256,0.208,0.304,0.198,0.317,0.255,0.193,0.169,0.235,0.404,0.223,0.082,0.678,0.525,0.101,0,0,0
"Javier Milei","No sabe",0.005,0.004,0.005,0,0,0.013,0.016,0.007,0.006,0,0,0,0,0.007,0,0,0,0
"Mauricio Macri","Muy buena",0.167,0.123,0.211,0.218,0.108,0.199,0.19,0.284,0.131,0.084,0.19,0.215,0.183,0.203,0.157,0,0,0
"Mauricio Macri","Buena",0.137,0.152,0.122,0.164,0.107,0.149,0.152,0.108,0.167,0.119,0.075,0.331,0.023,0.038,0.243,0,0,0
"Mauricio Macri","Ni buena ni mala",0.154,0.15,0.158,0.094,0.188,0.148,0.181,0.086,0.192,0.17,0.202,0.14,0.067,0.09,0.186,0,0,0
"Mauricio Macri","Mala",0.243,0.302,0.185,0.265,0.259,0.201,0.22,0.35,0.199,0.188,0.305,0.114,0.14,0.254,0.228,0,0,0
"Mauricio Macri","Muy mala",0.295,0.265,0.324,0.259,0.338,0.303,0.226,0.159,0.311,0.439,0.222,0.2,0.587,0.409,0.186,0,0,0
"Mauricio Macri","No sabe",0.004,0.008,0,0,0,0,0.031,0.013,0,0,0.006,0,0,0.006,0,0,0,0
"CFK","Muy buena",0.213,0.163,0.263,0.164,0.236,0.24,0.202,0.238,0.183,0.237,0.291,0.029,0.445,0.493,0.04,0,0,0
"CFK","Buena",0.085,0.09,0.079,0.094,0.058,0.097,0.126,0.091,0.045,0.148,0.119,0.013,0.151,0.176,0.031,0,0,0
"CFK","Ni buena ni mala",0.142,0.158,0.127,0.109,0.161,0.142,0.154,0.16,0.155,0.097,0.241,0.051,0.137,0.162,0.101,0,0,0
"CFK","Mala",0.16,0.155,0.166,0.187,0.099,0.185,0.246,0.234,0.123,0.136,0.147,0.238,0.023,0.037,0.213,0,0,0
"CFK","Muy mala",0.393,0.43,0.356,0.446,0.446,0.314,0.256,0.256,0.494,0.382,0.202,0.669,0.209,0.12,0.615,0,0,0
"CFK","No sabe",0.007,0.004,0.009,0,0,0.022,0.016,0.021,0,0,0,0,0.035,0.012,0,0,0,0
"Axel Kicillof","Muy buena",0.211,0.205,0.217,0.244,0.165,0.268,0.194,0.202,0.152,0.329,0.196,0.015,0.555,0.478,0.05,0,0,0
"Axel Kicillof","Buena",0.067,0.067,0.067,0.015,0.096,0.045,0.113,0.02,0.07,0.119,0.084,0.021,0.103,0.135,0.02,0,0,0
"Axel Kicillof","Ni buena ni mala",0.135,0.136,0.134,0.068,0.151,0.126,0.231,0.155,0.165,0.055,0.243,0.043,0.073,0.158,0.086,0,0,0
"Axel Kicillof","Mala",0.154,0.123,0.185,0.164,0.131,0.223,0.099,0.262,0.103,0.115,0.227,0.179,0,0.126,0.156,0,0,0
"Axel Kicillof","Muy mala",0.41,0.439,0.381,0.509,0.426,0.324,0.308,0.301,0.504,0.375,0.22,0.718,0.269,0.096,0.663,0,0,0
"Axel Kicillof","No sabe",0.023,0.03,0.016,0,0.031,0.014,0.055,0.06,0.006,0.007,0.03,0.024,0,0.007,0.025,0,0,0
"Sergio Massa","Muy buena",0.125,0.12,0.129,0.187,0.069,0.126,0.159,0.215,0.076,0.097,0.198,0.017,0.157,0.293,0.018,0,0,0
"Sergio Massa","Buena",0.104,0.076,0.131,0.047,0.107,0.157,0.13,0.047,0.105,0.175,0.119,0.009,0.306,0.216,0.046,0,0,0
"Sergio Massa","Ni buena ni mala",0.178,0.17,0.186,0.092,0.232,0.123,0.277,0.175,0.172,0.194,0.273,0.075,0.172,0.282,0.068,0,0,0
"Sergio Massa","Mala",0.178,0.205,0.153,0.187,0.159,0.231,0.135,0.244,0.146,0.155,0.181,0.205,0.043,0.053,0.231,0,0,0
"Sergio Massa","Muy mala",0.413,0.425,0.401,0.487,0.433,0.363,0.283,0.312,0.501,0.379,0.229,0.694,0.322,0.156,0.637,0,0,0
"Sergio Massa","No sabe",0.002,0.004,0,0,0,0,0.016,0.007,0,0,0,0,0,0,0,0,0,0
