"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.167,0.116,0.217,0.219,0.112,0.209,0.161,0.271,0.134,0.095,0.178,0.243,0.188,0.208,0.152,0,0,0,6
"Buena",0.15,0.181,0.119,0.17,0.132,0.128,0.194,0.108,0.207,0.099,0.148,0.357,0.022,0.072,0.194,0,0,0,6
"Ni buena ni mala",0.312,0.326,0.299,0.218,0.293,0.4,0.419,0.291,0.301,0.359,0.363,0.273,0.309,0.276,0.332,0,0,0,6
"Mala",0.188,0.146,0.229,0.276,0.174,0.151,0.114,0.149,0.188,0.239,0.172,0.111,0.206,0.227,0.16,0,0,0,6
"Muy mala",0.134,0.148,0.121,0.062,0.234,0.074,0.079,0.133,0.108,0.183,0.088,0.016,0.255,0.195,0.104,0,0,0,6
"No sabe",0.049,0.083,0.015,0.055,0.055,0.038,0.033,0.048,0.062,0.025,0.051,0,0.02,0.022,0.058,0,0,0,6
"Positiva",0.317,0.297,0.336,0.389,0.244,0.337,0.355,0.379,0.341,0.194,0.326,0.6,0.21,0.28,0.346,0,0,0,4
"Neutra",0.312,0.326,0.299,0.218,0.293,0.4,0.419,0.291,0.301,0.359,0.363,0.273,0.309,0.276,0.332,0,0,0,4
"Negativa",0.322,0.294,0.35,0.338,0.408,0.225,0.193,0.282,0.296,0.422,0.26,0.127,0.461,0.422,0.264,0,0,0,4
"No sabe",0.049,0.083,0.015,0.055,0.055,0.038,0.033,0.048,0.062,0.025,0.051,0,0.02,0.022,0.058,0,0,0,4
