"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.056,0.069,0.045,0.102,0.022,0.059,0.068,0.154,0.008,0.025,0.117,0.012,0.077,0.116,0.016,0,0,0,6
"Buena",0.139,0.144,0.134,0.057,0.178,0.112,0.218,0.134,0.143,0.136,0.242,0.069,0.079,0.204,0.098,0,0,0,6
"Ni buena ni mala",0.226,0.246,0.206,0.301,0.162,0.22,0.275,0.228,0.224,0.225,0.268,0.161,0.23,0.218,0.226,0,0,0,6
"Mala",0.332,0.325,0.339,0.212,0.372,0.457,0.247,0.26,0.381,0.332,0.222,0.435,0.33,0.261,0.4,0,0,0,6
"Muy mala",0.232,0.21,0.253,0.328,0.262,0.131,0.129,0.196,0.237,0.269,0.147,0.286,0.251,0.186,0.252,0,0,0,6
"No sabe",0.015,0.006,0.023,0,0.004,0.021,0.063,0.028,0.007,0.013,0.004,0.037,0.033,0.015,0.008,0,0,0,6
"Positiva",0.195,0.213,0.179,0.159,0.2,0.171,0.286,0.288,0.151,0.161,0.359,0.081,0.156,0.32,0.114,0,0,0,4
"Neutra",0.226,0.246,0.206,0.301,0.162,0.22,0.275,0.228,0.224,0.225,0.268,0.161,0.23,0.218,0.226,0,0,0,4
"Negativa",0.564,0.535,0.592,0.54,0.634,0.588,0.376,0.456,0.618,0.601,0.369,0.721,0.581,0.447,0.652,0,0,0,4
"No sabe",0.015,0.006,0.023,0,0.004,0.021,0.063,0.028,0.007,0.013,0.004,0.037,0.033,0.015,0.008,0,0,0,4
