"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P11","Muy buena",0.102,0,0.143,0.044,0.011,0.106,0.007,0.206,0
"P11","Buena",0.123,0,0.132,0.042,0.09,0.04,0.22,0.113,0
"P11","Ni buena ni mala",0.082,0,0.222,0.265,0.212,0.372,0.312,0.276,0
"P11","Mala",0.057,0,0.255,0.258,0.486,0.271,0.233,0.275,1
"P11","Muy mala",0.636,0,0.248,0.377,0.196,0.185,0.197,0.112,0
"P11","No sabe",0,0,0,0.014,0.005,0.026,0.031,0.018,0
"P12","Muy buena",0.818,0,0.456,0.431,0.406,0.395,0.285,0.302,1
"P12","Buena",0,0,0.18,0.081,0.194,0.05,0.184,0.11,0
"P12","Ni buena ni mala",0,0,0.111,0.225,0.107,0.196,0.136,0.211,0
"P12","Mala",0.182,0,0.086,0.085,0.03,0.116,0.115,0.169,0
"P12","Muy mala",0,0,0.167,0.178,0.263,0.227,0.272,0.183,0
"P12","No sabe",0,0,0,0,0,0.016,0.008,0.025,0
"P14","Muy buena",0.131,0,0.26,0.102,0.106,0.277,0.182,0.263,0
"P14","Buena",0,0,0.133,0.117,0.099,0.115,0.212,0.144,0
"P14","Ni buena ni mala",0.15,0,0.315,0.169,0.291,0.146,0.301,0.254,0
"P14","Mala",0.162,0,0.249,0.263,0.254,0.285,0.188,0.178,0.303
"P14","Muy mala",0.557,0,0.024,0.349,0.238,0.158,0.097,0.147,0.697
"P14","No sabe",0,0,0.019,0,0.012,0.019,0.02,0.014,0
"P15","Muy buena",0.627,0,0.161,0.044,0.017,0.018,0.085,0.227,0
"P15","Buena",0,0,0.068,0.056,0.153,0.255,0.201,0.154,0
"P15","Ni buena ni mala",0,0,0.325,0.391,0.292,0.209,0.308,0.312,0
"P15","Mala",0.055,0,0.209,0.233,0.2,0.268,0.3,0.147,0.472
"P15","Muy mala",0.231,0,0.171,0.276,0.296,0.218,0.057,0.121,0.528
"P15","No sabe",0.087,0,0.066,0,0.042,0.032,0.049,0.039,0
"P16","Gobierno nacional",0.287,0,0.037,0.136,0.161,0.148,0.184,0.293,0
"P16","Gobierno provincial",0.713,0,0.883,0.661,0.626,0.664,0.654,0.439,1
"P16","No sabe",0,0,0.08,0.203,0.213,0.188,0.162,0.268,0
"P17","El anterior gobierno de Arabela Carreras",0.336,0,0.588,0.267,0.486,0.401,0.362,0.666,0.494
"P17","El actual gobierno de Alberto Weretilneck",0.664,0,0.304,0.513,0.437,0.544,0.487,0.268,0.506
"P17","No sabe",0,0,0.108,0.22,0.077,0.055,0.151,0.066,0
"P18","El anterior gobierno de Alberto Fernández",1,0,0,0.545,0.454,0.57,0.256,0.635,0
"P18","El actual gobierno de Javier Milei",0,0,1,0.455,0.546,0.43,0.724,0.312,0
"P18","No sabe",0,0,0,0,0,0,0.02,0.053,0
"P19","Muy buena",0.141,0,0.139,0,0.028,0.012,0.067,0.069,0
"P19","Buena",0,0,0.086,0.152,0.199,0.078,0.181,0.21,0
"P19","Ni buena ni mala",0.092,0,0.106,0.213,0.21,0.335,0.245,0.234,1
"P19","Mala",0,0,0.453,0.221,0.356,0.396,0.288,0.294,0
"P19","Muy mala",0.709,0,0.195,0.398,0.178,0.179,0.209,0.192,0
"P19","No sabe",0.058,0,0.021,0.016,0.029,0,0.01,0.001,0
"P20","Muy buena",0.144,0,0.138,0,0.019,0,0.054,0.077,0
"P20","Buena",0.101,0,0.039,0.101,0.095,0.034,0.176,0.159,0
"P20","Ni buena ni mala",0,0,0.086,0.217,0.121,0.351,0.213,0.254,0
"P20","Mala",0.058,0,0.443,0.234,0.412,0.396,0.339,0.307,1
"P20","Muy mala",0.697,0,0.294,0.432,0.321,0.207,0.201,0.191,0
"P20","No sabe",0,0,0,0.016,0.032,0.012,0.017,0.012,0
"P21","Muy buena",0.64,0,0.139,0,0.023,0.013,0.047,0.064,0
"P21","Buena",0,0,0.062,0.099,0.122,0.037,0.123,0.113,0
"P21","Ni buena ni mala",0,0,0.492,0.252,0.313,0.256,0.347,0.342,0.302
"P21","Mala",0,0,0.182,0.38,0.362,0.489,0.296,0.261,0.698
"P21","Muy mala",0.36,0,0.125,0.253,0.18,0.184,0.162,0.191,0
"P21","No sabe",0,0,0,0.016,0,0.021,0.025,0.029,0
"P22","Muy de acuerdo",0.835,0,0.287,0.196,0.196,0.211,0.358,0.348,0
"P22","De acuerdo",0,0,0.124,0.273,0.177,0.116,0.221,0.186,0
"P22","Ni de acuerdo ni en desacuerdo",0,0,0.482,0.157,0.305,0.3,0.286,0.241,0.825
"P22","En desacuerdo",0.064,0,0.047,0.244,0.163,0.314,0.071,0.175,0.175
"P22","Muy en desacuerdo",0.101,0,0,0.13,0.062,0.023,0.062,0.026,0
"P22","No sabe",0,0,0.06,0,0.097,0.036,0.002,0.024,0
"P23","El estado nacional",0.636,0,0.166,0.233,0.15,0.136,0.113,0.168,0.176
"P23","El estado provincial",0,0,0.245,0.55,0.191,0.325,0.454,0.519,0
"P23","Ambos de forma coordinada",0.3,0,0.471,0.055,0.52,0.306,0.391,0.264,0.824
"P23","No sabe",0.064,0,0.118,0.162,0.139,0.233,0.042,0.049,0
"P24","Inseguridad y narcotráfico",0.733,0,0.113,0.204,0.254,0.325,0.314,0.295,0
"P24","Altos impuestos y tarifas",0.206,0,0.122,0.322,0.153,0.088,0.246,0.192,0.506
"P24","Educación y estado de las escuelas",0,0,0.188,0.187,0.264,0.263,0.176,0.222,0.494
"P24","Inflación",0.061,0,0.345,0.159,0.13,0.227,0.16,0.233,0
"P24","Estado de la salud",0,0,0.091,0.047,0.15,0.071,0.062,0.038,0
"P24","Corrupción",0,0,0.141,0.017,0.038,0.006,0.022,0.005,0
"P24","Pobreza",0,0,0,0.064,0,0,0.001,0.002,0
"P24","Medio ambiente, incendios y contaminación",0,0,0,0,0,0,0.001,0.004,0
"P24","Falta de trabajo",0,0,0,0,0,0.02,0.003,0.005,0
"P24","No sabe",0,0,0,0,0.011,0,0.015,0.004,0
"P28","Muy buena",0.637,0,0.175,0,0.018,0.132,0.042,0.08,0
"P28","Buena",0,0,0.025,0,0.045,0.021,0.16,0.116,0
"P28","Ni buena ni mala",0,0,0.212,0.306,0.4,0.34,0.259,0.341,0.831
"P28","Mala",0.269,0,0.423,0.277,0.29,0.313,0.333,0.355,0
"P28","Muy mala",0.094,0,0.165,0.4,0.219,0.113,0.193,0.102,0
"P28","No sabe",0,0,0,0.017,0.028,0.081,0.013,0.006,0.169
"P29","Peor",0.733,0,0.557,0.396,0.482,0.45,0.531,0.523,0.167
"P29","Igual",0.208,0,0.18,0.382,0.241,0.366,0.321,0.226,0.833
"P29","Mejor",0,0,0.164,0.141,0.264,0.049,0.027,0.165,0
"P29","No sabe",0.059,0,0.099,0.081,0.013,0.135,0.121,0.086,0
"P30","Peor",0.734,0,0.218,0.475,0.249,0.459,0.333,0.507,0.485
