"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.106,0.089,0.122,0.113,0.085,0.136,0.105,0.243,0.039,0.047,0.218,0.071,0.027,0.22,0.034,0,0,0,6
"Buena",0.133,0.105,0.157,0.076,0.162,0.095,0.224,0.049,0.172,0.171,0.231,0.067,0.127,0.179,0.112,0,0,0,6
"Ni buena ni mala",0.284,0.327,0.244,0.238,0.29,0.329,0.295,0.294,0.263,0.31,0.341,0.255,0.256,0.302,0.234,0,0,0,6
"Mala",0.28,0.291,0.269,0.333,0.253,0.284,0.239,0.228,0.333,0.249,0.143,0.331,0.306,0.128,0.44,0,0,0,6
"Muy mala",0.177,0.168,0.187,0.214,0.193,0.141,0.11,0.161,0.17,0.214,0.054,0.241,0.281,0.149,0.163,0,0,0,6
"No sabe",0.02,0.02,0.021,0.026,0.017,0.015,0.027,0.025,0.023,0.009,0.013,0.035,0.003,0.022,0.017,0,0,0,6
"Positiva",0.239,0.194,0.279,0.189,0.247,0.231,0.329,0.292,0.211,0.218,0.449,0.138,0.154,0.399,0.146,0,0,0,4
"Neutra",0.284,0.327,0.244,0.238,0.29,0.329,0.295,0.294,0.263,0.31,0.341,0.255,0.256,0.302,0.234,0,0,0,4
"Negativa",0.457,0.459,0.456,0.547,0.446,0.425,0.349,0.389,0.503,0.463,0.197,0.572,0.587,0.277,0.603,0,0,0,4
"No sabe",0.02,0.02,0.021,0.026,0.017,0.015,0.027,0.025,0.023,0.009,0.013,0.035,0.003,0.022,0.017,0,0,0,4
