"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"El anterior gobierno de Alberto Fernández",0.528,0.569,0.495,0.445,0.507,0.56,0.619,0.687,0.586,0.321,0.575,0.827,0.087,0.306,0.669,0,0,0
"El actual gobierno de Javier Milei",0.437,0.414,0.455,0.555,0.483,0.357,0.317,0.232,0.397,0.657,0.388,0.147,0.793,0.63,0.322,0,0,0
"No sabe",0.035,0.017,0.05,0,0.01,0.083,0.064,0.081,0.017,0.022,0.037,0.026,0.12,0.064,0.009,0,0,0
