"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.213,0.155,0.266,0.178,0.202,0.26,0.243,0.223,0.204,0.217,0.238,0.074,0.469,0.363,0.1,0,0,0,6
"Buena",0.153,0.152,0.154,0.058,0.17,0.185,0.239,0.111,0.165,0.182,0.187,0.133,0.21,0.161,0.134,0,0,0,6
"Ni buena ni mala",0.257,0.282,0.235,0.321,0.267,0.163,0.249,0.214,0.299,0.234,0.24,0.31,0.107,0.176,0.315,0,0,0,6
"Mala",0.204,0.247,0.164,0.217,0.165,0.275,0.181,0.283,0.162,0.182,0.236,0.296,0.118,0.148,0.272,0,0,0,6
"Muy mala",0.158,0.146,0.168,0.226,0.173,0.099,0.071,0.163,0.147,0.173,0.09,0.155,0.096,0.143,0.164,0,0,0,6
"No sabe",0.015,0.018,0.013,0,0.023,0.018,0.017,0.006,0.023,0.012,0.009,0.032,0,0.009,0.015,0,0,0,6
"Positiva",0.366,0.307,0.42,0.236,0.372,0.445,0.482,0.334,0.369,0.399,0.425,0.207,0.679,0.524,0.234,0,0,0,4
"Neutra",0.257,0.282,0.235,0.321,0.267,0.163,0.249,0.214,0.299,0.234,0.24,0.31,0.107,0.176,0.315,0,0,0,4
"Negativa",0.362,0.393,0.332,0.443,0.338,0.374,0.252,0.446,0.309,0.355,0.326,0.451,0.214,0.291,0.436,0,0,0,4
"No sabe",0.015,0.018,0.013,0,0.023,0.018,0.017,0.006,0.023,0.012,0.009,0.032,0,0.009,0.015,0,0,0,4
