"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.211,0.205,0.217,0.244,0.165,0.268,0.194,0.202,0.152,0.329,0.196,0.015,0.555,0.478,0.05,0,0,0,6
"Buena",0.067,0.067,0.067,0.015,0.096,0.045,0.113,0.02,0.07,0.119,0.084,0.021,0.103,0.135,0.02,0,0,0,6
"Ni buena ni mala",0.135,0.136,0.134,0.068,0.151,0.126,0.231,0.155,0.165,0.055,0.243,0.043,0.073,0.158,0.086,0,0,0,6
"Mala",0.154,0.123,0.185,0.164,0.131,0.223,0.099,0.262,0.103,0.115,0.227,0.179,0,0.126,0.156,0,0,0,6
"Muy mala",0.41,0.439,0.381,0.509,0.426,0.324,0.308,0.301,0.504,0.375,0.22,0.718,0.269,0.096,0.663,0,0,0,6
"No sabe",0.023,0.03,0.016,0,0.031,0.014,0.055,0.06,0.006,0.007,0.03,0.024,0,0.007,0.025,0,0,0,6
"Positiva",0.278,0.272,0.284,0.259,0.261,0.313,0.307,0.222,0.222,0.448,0.28,0.036,0.658,0.613,0.07,0,0,0,4
"Neutra",0.135,0.136,0.134,0.068,0.151,0.126,0.231,0.155,0.165,0.055,0.243,0.043,0.073,0.158,0.086,0,0,0,4
"Negativa",0.564,0.562,0.566,0.673,0.557,0.547,0.407,0.563,0.607,0.49,0.447,0.897,0.269,0.222,0.819,0,0,0,4
"No sabe",0.023,0.03,0.016,0,0.031,0.014,0.055,0.06,0.006,0.007,0.03,0.024,0,0.007,0.025,0,0,0,4
