"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Victoria Villarruel","Positiva",0.487,0.515,0.458,0.488,0.46,0.513,0.517,0.438,0.546,0.438,0.393,0.863,0.224,0.185,0.736,0,0,0
"Victoria Villarruel","Neutra",0.169,0.175,0.164,0.213,0.147,0.134,0.203,0.19,0.18,0.122,0.197,0.097,0.126,0.08,0.2,0,0,0
"Victoria Villarruel","Negativa",0.323,0.288,0.358,0.299,0.376,0.294,0.264,0.349,0.244,0.437,0.381,0.04,0.65,0.708,0.059,0,0,0
"Victoria Villarruel","No sabe",0.021,0.022,0.02,0,0.017,0.059,0.016,0.023,0.03,0.003,0.029,0,0,0.027,0.005,0,0,0
"Patricia Bullrich","Positiva",0.484,0.495,0.475,0.509,0.45,0.508,0.5,0.466,0.534,0.416,0.396,0.848,0.214,0.201,0.721,0,0,0
"Patricia Bullrich","Neutra",0.141,0.174,0.109,0.177,0.132,0.113,0.141,0.126,0.182,0.086,0.179,0.078,0.027,0.052,0.177,0,0,0
"Patricia Bullrich","Negativa",0.37,0.327,0.411,0.314,0.418,0.366,0.343,0.401,0.278,0.498,0.425,0.074,0.759,0.747,0.102,0,0,0
"Patricia Bullrich","No sabe",0.005,0.004,0.005,0,0,0.013,0.016,0.007,0.006,0,0,0,0,0,0,0,0,0
"Javier Milei","Positiva",0.473,0.528,0.418,0.502,0.477,0.434,0.467,0.419,0.519,0.456,0.395,0.768,0.217,0.192,0.693,0,0,0
"Javier Milei","Neutra",0.096,0.112,0.082,0.067,0.071,0.144,0.152,0.092,0.121,0.058,0.12,0.088,0.027,0.031,0.102,0,0,0
"Javier Milei","Negativa",0.426,0.356,0.495,0.431,0.452,0.409,0.365,0.482,0.354,0.486,0.485,0.144,0.756,0.77,0.205,0,0,0
"Javier Milei","No sabe",0.005,0.004,0.005,0,0,0.013,0.016,0.007,0.006,0,0,0,0,0.007,0,0,0,0
"María Emilia Soria","Positiva",0.37,0.336,0.403,0.294,0.365,0.433,0.439,0.431,0.293,0.434,0.5,0.109,0.571,0.63,0.18,0,0,0
"María Emilia Soria","Neutra",0.269,0.301,0.238,0.333,0.211,0.292,0.276,0.21,0.322,0.248,0.278,0.275,0.18,0.199,0.309,0,0,0
"María Emilia Soria","Negativa",0.34,0.323,0.356,0.373,0.375,0.275,0.269,0.318,0.372,0.307,0.177,0.616,0.236,0.167,0.49,0,0,0
"María Emilia Soria","No sabe",0.021,0.04,0.003,0,0.049,0,0.016,0.041,0.013,0.011,0.045,0,0.013,0.004,0.021,0,0,0
"Aníbal Tortoriello","Positiva",0.317,0.297,0.336,0.389,0.244,0.337,0.355,0.379,0.341,0.194,0.326,0.6,0.21,0.28,0.346,0,0,0
"Aníbal Tortoriello","Neutra",0.312,0.326,0.299,0.218,0.293,0.4,0.419,0.291,0.301,0.359,0.363,0.273,0.309,0.276,0.332,0,0,0
