"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.35,0.146,0.126,0.166,0.046
"P06","Casi siempre",0.338,0.45,0.25,0.067,0.286
"P06","Casi nunca",0.23,0.315,0.483,0.243,0.292
"P06","Nunca, pero esta es una excepción",0.082,0.089,0.141,0.524,0.376
"P08","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.334,0.47,0.475,0.179,0.112
"P08","Juan Monteverde a intendente por Juntos Avancemos",0.498,0.33,0.233,0.378,0.289
"P08","En blanco",0.076,0.079,0.14,0.217,0
"P08","No sabe",0.092,0.121,0.152,0.226,0.599
"P10","Totalmente seguro",0.697,0.631,0.523,0.477,0.513
"P10","Bastante seguro",0.155,0.171,0.136,0.042,0.14
"P10","Algo seguro",0.069,0.085,0.166,0.183,0.14
"P10","Para nada seguro",0.079,0.113,0.175,0.298,0.207
"P11","Tiene Decidido que va a ir a votar",0.935,0.948,0.865,0.736,0.795
"P11","Tiene dudas sobre si va a ir a votar",0.042,0.042,0.094,0.103,0.205
"P11","Tiene Decidido que no va a ir a votar",0.023,0.01,0.041,0.161,0
"P12","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.394,0.509,0.479,0.341,0.359
"P12","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.459,0.266,0.206,0.248,0.196
"P12","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.041,0.085,0.041,0.071,0.105
"P12","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.021,0.017,0.075,0.079,0
"P12","Otro",0.033,0.047,0.069,0.033,0.028
"P12","En blanco",0.022,0.014,0.04,0.099,0
"P12","No sabe",0.03,0.062,0.09,0.129,0.312
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.454,0.266,0.182,0.267,0.405
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.239,0.381,0.371,0.111,0.144
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.217,0.255,0.291,0.289,0.28
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.005,0.02,0.061,0.027
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.018,0.019,0.009,0.012,0
"P14","En blanco",0.015,0.014,0.038,0.037,0
"P14","No sabe",0.036,0.06,0.089,0.223,0.144
"P17","Si",0.548,0.488,0.422,0.453,0.267
"P17","No",0.452,0.512,0.578,0.547,0.733
