"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.362,0.362,0.361,0.395,0.38,0.369,0.293,0.383,0.286,0.411,0.208,0.267,0.127,0.031,0.687,0.75
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.291,0.258,0.322,0.161,0.22,0.324,0.484,0.261,0.323,0.281,0.478,0.343,0.435,0.503,0.097,0.061
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.239,0.292,0.191,0.333,0.287,0.202,0.123,0.238,0.288,0.201,0.246,0.292,0.259,0.261,0.12,0.121
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.023,0.012,0,0.027,0.012,0.018,0.025,0.007,0.022,0.015,0.011,0.017,0.026,0.017,0.02
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.016,0.018,0.015,0.018,0.012,0.022,0.013,0.011,0.023,0.016,0.008,0.026,0.02,0.028,0.018
"En blanco",0.018,0.018,0.018,0.027,0.013,0.021,0.018,0.026,0.017,0.015,0.002,0.026,0.037,0.086,0.011,0.006
"No sabe",0.056,0.031,0.078,0.069,0.055,0.06,0.042,0.054,0.068,0.047,0.035,0.053,0.099,0.073,0.04,0.024
