"var","categoria","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda","Otro","En blanco","No sabe"
"P05","Mucho",0.49,0.686,0.393,0.421,0.435,0.497,0.31
"P05","Bastante",0.359,0.225,0.467,0.189,0.351,0.18,0.365
"P05","Poco",0.114,0.059,0.076,0.282,0.177,0.169,0.18
"P05","Nada",0.03,0.026,0.048,0.108,0.031,0.154,0.094
"P05","No sabe",0.007,0.004,0.016,0,0.006,0,0.051
"P06","Siempre",0.25,0.32,0.141,0.369,0.221,0.162,0.077
"P06","Casi siempre",0.379,0.437,0.34,0.23,0.258,0.422,0.311
"P06","Casi nunca",0.285,0.167,0.311,0.342,0.334,0.319,0.409
"P06","Nunca, pero esta es una excepción",0.086,0.076,0.208,0.059,0.187,0.097,0.203
"P08","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.697,0.16,0.139,0.106,0.172,0.152,0.12
"P08","Juan Monteverde a intendente por Juntos Avancemos",0.172,0.732,0.204,0.548,0.418,0.271,0.329
"P08","En blanco",0.06,0.041,0.414,0.141,0.177,0.425,0.079
"P08","No sabe",0.071,0.067,0.243,0.205,0.233,0.152,0.472
"P10","Totalmente seguro",0.612,0.752,0.609,0.601,0.658,0.6,0.381
"P10","Bastante seguro",0.195,0.136,0.106,0.088,0.112,0.135,0.084
"P10","Algo seguro",0.099,0.053,0.12,0.153,0.09,0.028,0.082
"P10","Para nada seguro",0.094,0.059,0.165,0.158,0.14,0.237,0.453
"P11","Tiene Decidido que va a ir a votar",0.945,0.965,0.746,0.899,0.944,0.776,0.77
"P11","Tiene dudas sobre si va a ir a votar",0.045,0.02,0.122,0.092,0.022,0.193,0.131
"P11","Tiene Decidido que no va a ir a votar",0.01,0.015,0.132,0.009,0.034,0.031,0.099
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.137,0.753,0.011,0.259,0.198,0.168,0.193
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.53,0.098,0.061,0.164,0.176,0.243,0.04
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.266,0.092,0.769,0.236,0.393,0.419,0.238
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.015,0.025,0.207,0.006,0,0.022
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.005,0.008,0.11,0.099,0,0.054
"P14","En blanco",0.011,0.013,0.065,0.012,0.032,0.132,0.005
"P14","No sabe",0.037,0.024,0.061,0.012,0.096,0.038,0.448
"P17","Si",0.498,0.565,0.486,0.384,0.464,0.422,0.406
"P17","No",0.502,0.435,0.514,0.616,0.536,0.578,0.594
