"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P05","Mucho",0.661,0.456,0.485,0.668,0.604,0.462
"P05","Bastante",0.242,0.392,0.318,0.09,0.322,0.258
"P05","Poco",0.053,0.132,0.139,0.125,0.052,0.214
"P05","Nada",0.035,0.012,0.048,0.105,0.022,0.066
"P05","No sabe",0.009,0.008,0.01,0.012,0,0
"P06","Siempre",0.306,0.215,0.236,0.44,0.342,0.143
"P06","Casi siempre",0.418,0.411,0.333,0.211,0.309,0.558
"P06","Casi nunca",0.202,0.282,0.3,0.272,0.288,0.103
"P06","Nunca, pero esta es una excepción",0.074,0.092,0.131,0.077,0.061,0.196
"P08_imputada","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.188,0.745,0.489,0.292,0.316,0.295
"P08_imputada","Juan Monteverde a intendente por Juntos Avancemos",0.764,0.178,0.32,0.458,0.656,0.267
"P08_imputada","En blanco",0.048,0.077,0.191,0.25,0.028,0.438
"P10","Totalmente seguro",0.747,0.65,0.578,0.576,0.522,0.425
"P10","Bastante seguro",0.122,0.198,0.145,0.203,0.088,0.098
"P10","Algo seguro",0.051,0.081,0.118,0.045,0.218,0.125
"P10","Para nada seguro",0.08,0.071,0.159,0.176,0.172,0.352
"P11","Tiene Decidido que va a ir a votar",0.942,0.953,0.904,0.775,0.895,0.791
"P11","Tiene dudas sobre si va a ir a votar",0.035,0.043,0.072,0.041,0.013,0.113
"P11","Tiene Decidido que no va a ir a votar",0.023,0.004,0.024,0.184,0.092,0.096
"P12_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.174,0.8,0.493,0.285,0.343,0.27
"P12_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.749,0.125,0.156,0.286,0.128,0.243
"P12_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.002,0.012,0.195,0.139,0.027,0.203
"P12_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.017,0.014,0.026,0.278,0.158,0.017
"P12_imputada","Otro",0.041,0.027,0.068,0.012,0.344,0.069
"P12_imputada","En blanco",0.017,0.022,0.062,0,0,0.198
"P17","Si",0.522,0.503,0.505,0.286,0.784,0.446
"P17","No",0.478,0.497,0.495,0.714,0.216,0.554
