"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Mucho",0.505,0.58,0.438,0.502,0.468,0.499,0.591,0.494,0.439,0.584,0.492,0.508,0.603,0.538,0.63,0.517
"Bastante",0.296,0.283,0.308,0.268,0.318,0.309,0.276,0.25,0.325,0.298,0.33,0.318,0.199,0.279,0.251,0.363
"Poco",0.125,0.075,0.17,0.108,0.141,0.145,0.09,0.143,0.142,0.094,0.146,0.124,0.153,0.053,0.048,0.073
"Nada",0.064,0.051,0.075,0.118,0.058,0.031,0.043,0.096,0.087,0.017,0.029,0.05,0.04,0.094,0.057,0.047
"No sabe",0.01,0.011,0.009,0.004,0.015,0.016,0,0.017,0.007,0.007,0.003,0,0.005,0.036,0.014,0
