"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.579,0.546,0.41,0.384
"P05","Bastante",0.292,0.334,0.283,0.306
"P05","Poco",0.092,0.101,0.209,0.18
"P05","Nada",0.031,0.012,0.086,0.115
"P05","No sabe",0.006,0.007,0.012,0.015
"P06","Siempre",0.297,0.173,0.211,0.146
"P06","Casi siempre",0.387,0.494,0.297,0.256
"P06","Casi nunca",0.233,0.258,0.382,0.36
"P06","Nunca, pero esta es una excepción",0.083,0.075,0.11,0.238
"P08","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.393,0.509,0.371,0.221
"P08","Juan Monteverde a intendente por Juntos Avancemos",0.471,0.299,0.326,0.269
"P08","En blanco",0.084,0.051,0.147,0.116
"P08","No sabe",0.052,0.141,0.156,0.394
"P11","Tiene Decidido que va a ir a votar",0.97,0.924,0.796,0.737
"P11","Tiene dudas sobre si va a ir a votar",0.02,0.067,0.114,0.166
"P11","Tiene Decidido que no va a ir a votar",0.01,0.009,0.09,0.097
"P12","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.409,0.548,0.526,0.368
"P12","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.419,0.318,0.235,0.194
"P12","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.052,0.039,0.083,0.083
"P12","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.026,0.016,0.052,0.04
"P12","Otro",0.041,0.029,0.044,0.051
"P12","En blanco",0.023,0.022,0.008,0.052
"P12","No sabe",0.03,0.028,0.052,0.212
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.419,0.299,0.212,0.213
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.294,0.366,0.274,0.179
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.223,0.232,0.334,0.276
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.026,0.011,0.013
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.006,0.041,0.029
"P14","En blanco",0.011,0.012,0.028,0.061
"P14","No sabe",0.022,0.059,0.1,0.229
"P17","Si",0.544,0.468,0.482,0.384
"P17","No",0.456,0.532,0.518,0.616
