"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Javkin","Tessandori","Estévez","Cardozo","Monteverde","Sukerman"
"Tiene Decidido que va a ir a votar",0.922,0.926,0.918,0.944,0.927,0.926,0.89,0.852,0.931,0.952,0.943,0.927,0.921,0.83,0.983,0.944
"Tiene dudas sobre si va a ir a votar",0.051,0.048,0.054,0.043,0.049,0.053,0.061,0.083,0.048,0.037,0.044,0.068,0.025,0.114,0.011,0.019
"Tiene Decidido que no va a ir a votar",0.027,0.026,0.028,0.013,0.024,0.021,0.049,0.065,0.021,0.011,0.013,0.005,0.054,0.056,0.006,0.037
