"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.38,0.383,0.376,0.24,0.429,0.397,0.359,0.411,0.373,0.361,0.688,0.087,0.272,0.396,0.35
"Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.364,0.357,0.37,0.428,0.309,0.382,0.409,0.325,0.359,0.406,0.113,0.67,0.444,0.346,0.398
"En blanco",0.153,0.159,0.148,0.237,0.161,0.114,0.122,0.15,0.146,0.165,0.126,0.131,0.163,0.156,0.147
"No sabe",0.103,0.101,0.106,0.095,0.101,0.107,0.11,0.114,0.122,0.068,0.073,0.112,0.121,0.102,0.105
