"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.302,0.39,0.401,0.368
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.261,0.182,0.215,0.158
"P34","En blanco",0.246,0.31,0.301,0.192
"P34","No sabe",0.191,0.118,0.083,0.282
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.274,0.416,0.365,0.352
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.306,0.433,0.376,0.312
"P35","En blanco",0.276,0.09,0.172,0.13
"P35","No sabe",0.144,0.061,0.087,0.206
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.298,0.397,0.289,0.347
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.315,0.201,0.268,0.155
"P36","En blanco",0.169,0.272,0.324,0.238
"P36","No sabe",0.218,0.13,0.119,0.26
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.305,0.44,0.38,0.337
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.391,0.342,0.351,0.238
"P37","En blanco",0.156,0.136,0.156,0.137
"P37","No sabe",0.148,0.082,0.113,0.288
"P45","Lo votaría",0.408,0.369,0.346,0.221
"P45","Puede que lo vote",0.091,0.134,0.092,0.155
"P45","Nunca lo votaría",0.359,0.478,0.541,0.375
"P45","No sabe",0.142,0.019,0.021,0.249
"P46","Lo votaría",0.28,0.304,0.221,0.158
"P46","Puede que lo vote",0.191,0.16,0.115,0.084
"P46","Nunca lo votaría",0.509,0.486,0.647,0.445
"P46","No sabe",0.02,0.05,0.017,0.313
"P47","Lo votaría",0.351,0.304,0.351,0.318
"P47","Puede que lo vote",0.167,0.217,0.145,0.102
"P47","Nunca lo votaría",0.402,0.466,0.491,0.316
"P47","No sabe",0.08,0.013,0.013,0.264
"P48","Lo votaría",0.378,0.277,0.262,0.242
"P48","Puede que lo vote",0.165,0.244,0.171,0.146
"P48","Nunca lo votaría",0.332,0.444,0.539,0.303
"P48","No sabe",0.125,0.035,0.028,0.309
"P49","Lo votaría",0.493,0.235,0.244,0.107
"P49","Puede que lo vote",0.134,0.195,0.142,0.18
"P49","Nunca lo votaría",0.327,0.523,0.599,0.401
"P49","No sabe",0.046,0.047,0.015,0.312
"P50","Lo votaría",0.406,0.066,0.063,0.09
"P50","Puede que lo vote",0.063,0.348,0.131,0.143
"P50","Nunca lo votaría",0.473,0.54,0.787,0.374
"P50","No sabe",0.058,0.046,0.019,0.393
"P52","Si",0.505,0.538,0.524,0.356
"P52","No",0.495,0.462,0.476,0.644
