"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P05","Mucho",0.435,0.44,0.444,0.541
"P05","Bastante",0.346,0.31,0.349,0.32
"P05","Poco",0.145,0.2,0.183,0.105
"P05","Nada",0.039,0.038,0.017,0.021
"P05","No sabe",0.035,0.012,0.007,0.013
"P06","Siempre",0.402,0.451,0.345,0.306
"P06","Casi siempre",0.326,0.301,0.362,0.447
"P06","Casi nunca",0.191,0.119,0.224,0.164
"P06","Nunca, pero esta es una excepción",0.081,0.129,0.069,0.083
"P10","Sergio Massa por el Frente de Todos",0.567,0.371,0.302,0.395
"P10","Patricia Bullrich por Juntos por el Cambio",0.04,0.081,0.062,0.018Unión
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.018,0.036,0.008
"P10","Juan Schiaretti por Juntos por el Cambio",0.016,0.033,0.073,0.017
"P10","Jose Luis Espert por Juntos por el Cambio",0.234,0.165,0.109,0.211
"P10","Javier Milei por la Libertad Avanza",0.039,0.105,0.105,0.022
"P10","Al candidato del Frente de Izquierda",0.019,0.043,0.044,0.054
"P10","En blanco",0.015,0.006,0.063,0.052
"P10","No sabe",0.059,0.178,0.206,0.223
"P13","Wado de Pedro por el Frente de Todos",0.429,0.389,0.346,0.587
"P13","Patricia Bullrich por Juntos por el Cambio",0.039,0.09,0.064,0.02Unión
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.023,0.042,0.003Unión
"P13","Juan Schiaretti por Juntos por el Cambio",0.039,0.016,0.061,0.011
"P13","Jose Luis Espert por Juntos por el Cambio",0.221,0.143,0.194,0.239
"P13","Javier Milei por la Libertad Avanza",0.071,0.127,0.12,0.028
"P13","Al candidato del Frente de Izquierda",0.024,0.03,0.015,0.018
"P13","En blanco",0.043,0.061,0.045,0.013
"P13","No sabe",0.109,0.121,0.113,0.081
"P16","Sergio Massa por el Frente de Todos",0.536,0.233,0.118,0.133
