"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.41,0.238,0.22
"P05","Bastante",0.405,0.385,0.285
"P05","Poco",0.154,0.279,0.302
"P05","Nada",0.024,0.089,0.188
"P05","No sabe",0.007,0.009,0.005
"P06","Siempre",0.252,0.163,0.186
"P06","Casi siempre",0.448,0.373,0.356
"P06","Casi nunca",0.217,0.363,0.249
"P06","Nunca, pero esta es una excepción",0.083,0.101,0.209
"P08","Unión por la Patria",0.331,0.143,0.304
"P08","Juntos por el Cambio ",0.362,0.246,0.192
"P08","Liberales",0.159,0.184,0.076
"P08","Izquierda",0.024,0.092,0.057
"P08","Otro",0.043,0.08,0.136
"P08","No sabe",0.081,0.255,0.235
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.286,0.201,0.22
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.073,0.12,0.155
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.256,0.21,0.196
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.115,0.067,0.084
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.183,0.197,0.125
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.043,0.044
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.007,0.048,0.007
"P15","Otros",0.026,0.032,0.074
"P15","En blanco",0.012,0.029,0.063
"P15","No sabe",0.028,0.053,0.032
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.248,0.201,0.135
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.093,0.093,0.136
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.284,0.237,0.182
