"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Agua corriente y cloacas",0.451,0.53,0.384,0.555,0.423,0.461,0.39,0.466,0.456,0.426,0.439,0.314,0.515,0.456,0.431,0.332
"Energía eléctrica",0.108,0.087,0.126,0.062,0.137,0.105,0.089,0.078,0.139,0.096,0.128,0.173,0.064,0.075,0.132,0.318
"Red de gas natural",0.089,0.1,0.079,0,0.128,0.084,0.09,0.145,0.075,0.049,0.117,0.104,0.056,0.063,0.118,0.036
"Recolección de residuos",0.108,0.078,0.134,0.136,0.113,0.091,0.087,0.068,0.104,0.156,0.092,0.137,0.112,0.112,0.115,0.145
"Ninguno",0.244,0.205,0.277,0.247,0.199,0.259,0.344,0.243,0.226,0.273,0.224,0.272,0.253,0.294,0.204,0.169
