"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.314,0.528,0.512,0.568,0.392,0.274,0.661,0.188,0.062
"P07","Al candidato de Juntos por el Cambio",0.37,0.342,0.225,0.09,0.508,0.388,0.144,0.328,0.354
"P07","Al candidato de los liberales - libertarios",0.218,0.022,0.102,0.146,0.038,0.142,0.057,0.163,0.279
"P07","Al candidato de la Izquierda",0.008,0.005,0,0,0.005,0.044,0,0.106,0.03
"P07","A otro candidato",0.022,0.098,0.069,0.019,0.032,0.125,0.02,0.04,0.103
"P07","No sabe",0.068,0.005,0.092,0.177,0.025,0.027,0.118,0.175,0.172
"P08","A Julio Zamora por el Frente de Todos",0.263,0.498,0.467,0.455,0.361,0.236,0.695,0.167,0.056
"P08","A Malena Galmarini por el Frente de Todos",0.104,0.088,0.148,0.198,0.135,0.157,0.009,0.043,0.082
"P08","A Segundo Cernadas por Cambiemos",0.317,0.215,0.178,0.188,0.345,0.339,0.172,0.231,0.362
"P08","A Nicolás Massot por Cambiemos",0.085,0.077,0.06,0.007,0.11,0.093,0.012,0.136,0.058
"P08","Al candidato de los liberales libertarios",0.186,0.022,0.017,0.019,0.023,0.089,0.014,0.082,0.15
"P08","A Paula Akerfeld por el Frente de Izquierda",0.008,0,0.022,0.051,0.026,0.038,0.054,0.068,0.075
"P08","No sabe",0.037,0.1,0.108,0.082,0,0.048,0.044,0.273,0.217
"P10","A Julio Zamora por el Frente de Todos",0.346,0.541,0.509,0.492,0.439,0.29,0.641,0.196,0.108
"P10","A Segundo Cernadas por Cambiemos",0.308,0.328,0.283,0.145,0.459,0.398,0.224,0.26,0.381
"P10","Al candidato de los liberales libertarios",0.241,0.082,0.135,0.11,0.042,0.138,0.068,0.196,0.212
"P10","A Paula Akerfeld por el Frente de Izquierda",0.008,0.03,0.01,0,0.027,0.066,0,0.083,0.082
"P10","No sabe",0.097,0.019,0.063,0.253,0.033,0.108,0.067,0.265,0.217
"P12","A Malena Galmarini por el Frente de Todos",0.192,0.478,0.491,0.432,0.45,0.239,0.394,0.04,0.135
