"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.271,0.226,0.314,0.336,0.296,0.23,0.194,0.254,0.336,0.196,0.375,0.089,0.231,0.277,0.305,0.036
"A Mauricio Macri",0.195,0.204,0.186,0.27,0.131,0.245,0.198,0.219,0.197,0.168,0.146,0.35,0.194,0.086,0.277,0.427
"A Patricia Bullrich",0.243,0.242,0.243,0.137,0.266,0.224,0.332,0.214,0.243,0.271,0.251,0.232,0.238,0.156,0.276,0.412
"A Facundo Manes",0.2,0.202,0.198,0.162,0.196,0.244,0.186,0.174,0.172,0.264,0.179,0.151,0.233,0.317,0.112,0.125
"A Gerardo Morales",0.091,0.126,0.059,0.095,0.111,0.057,0.09,0.139,0.052,0.101,0.049,0.178,0.104,0.164,0.03,0
