"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P25","El arreglo de las calles",0.111,0.122,0.202,0.2,0.147,0.019
"P25","El estado de las escuelas y la educación",0.147,0.152,0.139,0.097,0.083,0.647
"P25","El sistema de salud",0.222,0.18,0.139,0.164,0.33,0.022
"P25","El deporte y la cultura",0.016,0.037,0.015,0.01,0.003,0.065
"P25","La obra pública",0.01,0.026,0.028,0.134,0.013,0
"P25","La luminaria",0.009,0.039,0.022,0.002,0.054,0.003
"P25","No sabe",0.282,0.104,0.148,0.079,0.097,0.141
"P26","Agua corriente y cloacas",0.34,0.454,0.437,0.517,0.529,0.448
"P26","Energía eléctrica",0.075,0.148,0.128,0.093,0.081,0
"P26","Red de gas natural",0.052,0.103,0.128,0.098,0.026,0
"P26","Recolección de residuos",0.061,0.094,0.101,0.098,0.188,0.372
"P26","Ninguno",0.472,0.201,0.206,0.194,0.176,0.18
"P27","Los robos",0.271,0.285,0.336,0.18,0.374,0.535
"P27","El narcotráfico",0.22,0.296,0.259,0.441,0.302,0.066
"P27","La ausencia de patrulleros y personal policial",0.115,0.131,0.126,0.179,0.147,0.08
"P27","Otro",0.121,0.225,0.186,0.115,0.172,0.316
"P27","Ninguno",0.273,0.063,0.093,0.085,0.005,0.003
"P28","Frente de Todos y el peronismo",0.643,0.48,0.194,0.08,0.128,0.339
"P28","Cambiemos",0.136,0.233,0.326,0.525,0.487,0.06
"P28","Liberales Libertarios",0.057,0.075,0.216,0.281,0.21,0.143
"P28","Izquierda",0.023,0.044,0.029,0.024,0.054,0.003
"P28","No sabe",0.141,0.168,0.235,0.09,0.121,0.455
"P30","A Alberto Fernández",0.354,0.152,0.096,0.047,0.031,0
"P30","A Sergio Massa",0.342,0.292,0.326,0.048,0.169,0.32
"P30","A algún candidato del peronismo",0.202,0.339,0.429,0.5,0.624,0.68
"P30","A algún candidato del kirchnerismo",0.102,0.217,0.149,0.405,0.176,0
"P31","A Alberto Fernández",0.168,0.061,0.034,0.178,0,0
"P31","A Sergio Massa",0.414,0.109,0.508,0.052,0,0
"P31","A algún candidato del peronismo",0.153,0.391,0.296,0.512,0.84,0.663
"P31","A Cristina Fernández de Kirchner",0.265,0.439,0.162,0.258,0.16,0.337
"P32","A Horacio Rodriguez Larreta",0.426,0.202,0.249,0.253,0.244,0.561
"P32","A Mauricio Macri",0.216,0.079,0.185,0.222,0.415,0
"P32","A Patricia Bullrich",0.062,0.155,0.362,0.318,0.277,0.152
"P32","A Facundo Manes",0.188,0.421,0.094,0.191,0.029,0.108
"P32","A Gerardo Morales",0.108,0.143,0.11,0.016,0.035,0.179
"P33","Seguro lo votaria",0.183,0.043,0.264,0.505,0.268,0.629
"P33","Quizás lo votaría",0.293,0.201,0.282,0.329,0.279,0.036
"P33","Nunca lo votaría",0.524,0.756,0.454,0.166,0.453,0.335
"P34","Muy buena",0.218,0.069,0.015,0.21,0.09,0.38
"P34","Buena",0.218,0.153,0.061,0.03,0.167,0.126
"P34","Ni buena ni mala",0.245,0.268,0.154,0.027,0.075,0.019
"P34","Mala",0.083,0.177,0.138,0.097,0.017,0.308
"P34","Muy mala",0.184,0.309,0.622,0.636,0.651,0.167
"P34","No sabe",0.052,0.024,0.01,0,0,0
"P35","Muy buena",0.132,0.074,0.156,0.177,0.397,0.085
"P35","Buena",0.092,0.125,0.244,0.178,0.089,0
"P35","Ni buena ni mala",0.143,0.121,0.157,0.232,0.205,0
"P35","Mala",0.166,0.244,0.21,0.136,0.05,0.451
"P35","Muy mala",0.467,0.421,0.214,0.277,0.259,0.432
"P35","No sabe",0,0.015,0.019,0,0,0.032
"P36","Muy buena",0.391,0.326,0.059,0.096,0.162,0.569
"P36","Buena",0.134,0.148,0.054,0.01,0.047,0
"P36","Ni buena ni mala",0.089,0.089,0.082,0.026,0.022,0.019
"P36","Mala",0.019,0.09,0.159,0.087,0.013,0
"P36","Muy mala",0.311,0.332,0.639,0.781,0.756,0.181
"P36","No sabe",0.056,0.015,0.007,0,0,0.231
"P37","Muy buena",0.095,0.088,0.124,0.167,0.265,0
"P37","Buena",0.151,0.168,0.284,0.311,0.155,0.057
"P37","Ni buena ni mala",0.216,0.192,0.197,0.192,0.231,0.036
