"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.776,0.086,0.097,0.14,0.177
"P07","Al candidato de Juntos por el Cambio",0.079,0.746,0.121,0.052,0.206
"P07","Al candidato de los liberales - libertarios",0.012,0.065,0.722,0.255,0.111
"P07","Al candidato de la Izquierda",0.002,0.006,0.013,0.443,0.016
"P07","A otro candidato",0.028,0.049,0.031,0.058,0.153
"P07","No sabe",0.103,0.048,0.016,0.052,0.337
"P08","A Julio Zamora por el Frente de Todos",0.699,0.056,0.113,0.016,0.073
"P08","A Malena Galmarini por el Frente de Todos",0.158,0.055,0.006,0.176,0.211
"P08","A Segundo Cernadas por Cambiemos",0.078,0.645,0.232,0.034,0.005
"P08","A Nicolás Massot por Cambiemos",0.029,0.136,0.053,0.026,0.105
"P08","Al candidato de los liberales libertarios",0.003,0.006,0.557,0.057,0.11
"P08","A Paula Akerfeld por el Frente de Izquierda",0.011,0.012,0.016,0.648,0.029
"P08","No sabe",0.022,0.09,0.023,0.043,0.467
"P12","A Malena Galmarini por el Frente de Todos",0.6,0.102,0.022,0.189,0.241
"P12","A Segundo Cernadas por Cambiemos",0.158,0.836,0.156,0.032,0.034
"P12","Al candidato de los liberales libertarios",0.021,0.013,0.729,0.177,0.078
"P12","A Paula Akerfeld por el Frente de Izquierda",0.018,0.013,0.01,0.525,0.016
"P12","No sabe",0.203,0.036,0.083,0.077,0.631
"P14","Muy buena",0.211,0.081,0.004,0.076,0.157
"P14","Buena",0.299,0.095,0.031,0.115,0.085
"P14","Ni buena ni mala",0.238,0.136,0.217,0.365,0.222
"P14","Mala",0.109,0.223,0.137,0.13,0.181
"P14","Muy mala",0.099,0.428,0.496,0.301,0.246
"P14","No sabe",0.044,0.037,0.115,0.013,0.109
"P15","Muy buena",0.41,0.078,0.086,0,0.03
"P15","Buena",0.374,0.173,0.089,0.15,0.146
"P15","Ni buena ni mala",0.14,0.256,0.274,0.284,0.324
"P15","Mala",0.017,0.25,0.209,0.327,0.27
"P15","Muy mala",0.025,0.213,0.275,0.211,0.118
"P15","No sabe",0.034,0.03,0.067,0.028,0.112
"P16","Muy buena",0.075,0.435,0.061,0.091,0.052
"P16","Buena",0.075,0.259,0.206,0.063,0.074
"P16","Ni buena ni mala",0.321,0.195,0.323,0.343,0.384
"P16","Mala",0.226,0.034,0.07,0.199,0.126
"P16","Muy mala",0.197,0.046,0.213,0.239,0.161
"P16","No sabe",0.106,0.031,0.127,0.065,0.203
"P17","Muy buena",0.04,0.022,0.016,0.014,0.002
"P17","Buena",0.062,0.078,0.024,0.007,0.015
"P17","Ni buena ni mala",0.332,0.357,0.334,0.41,0.215
"P17","Mala",0.068,0.102,0.036,0.087,0.1
"P17","Muy mala",0.075,0.044,0.169,0.186,0.05
"P17","No sabe",0.423,0.397,0.421,0.296,0.618
"P18","Muy buena",0.046,0.138,0.064,0.06,0.015
"P18","Buena",0.06,0.188,0.117,0.073,0.092
"P18","Ni buena ni mala",0.332,0.311,0.34,0.378,0.291
"P18","Mala",0.128,0.071,0.046,0.077,0.119
"P18","Muy mala",0.117,0.064,0.167,0.21,0.114
"P18","No sabe",0.317,0.228,0.266,0.202,0.369
"P19","Muy buena",0.365,0.07,0.083,0,0.033
"P19","Buena",0.419,0.136,0.097,0.134,0.149
"P19","Ni buena ni mala",0.104,0.321,0.291,0.406,0.378
"P19","Mala",0.048,0.288,0.224,0.182,0.17
"P19","Muy mala",0.05,0.167,0.237,0.276,0.166
"P19","No sabe",0.014,0.018,0.068,0.002,0.104
"P20","Que continúe el intendente Julio Zamora",0.408,0.034,0.125,0,0.063
"P20","Que continúe Julio Zamora pero con mejoras",0.449,0.109,0.107,0.17,0.224
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.092,0.174,0.158,0.371,0.216
"P20","Que cambie el intendente Julio Zamora",0.051,0.683,0.61,0.459,0.497
"P21","Es kirchnerista",0.187,0.191,0.189,0.196,0.057
"P21","Forma parte del Frente de Todos",0.417,0.192,0.26,0.139,0.148
"P21","Es un hombre de Massa",0.17,0.122,0.072,0.162,0.152
"P21","Es un peronista independiente de centro",0.091,0.095,0.138,0.036,0.055
"P21","Es un oportunista y está donde le conviene",0.042,0.284,0.263,0.451,0.195
"P21","No sabe",0.093,0.116,0.078,0.016,0.393
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.112,0.07,0.213,0.427,0.278
"P22","Son aliados tácticos pero lo ocultan",0.105,0.106,0.188,0.245,0.126
"P22","Son adversarios políticos",0.482,0.577,0.331,0.15,0.086
"P22","No sabe",0.301,0.247,0.268,0.178,0.51
"P23","Son lo mismo, ambos son de Massa",0.119,0.369,0.214,0.211,0.187
"P23","Son aliados en el Frente de Todos pero compiten",0.48,0.243,0.318,0.209,0.212
"P23","Son enemigos porque Zamora traicionó a Massa",0.185,0.252,0.26,0.48,0.194
"P23","No sabe",0.216,0.136,0.208,0.1,0.407
"P24","La seguridad",0.242,0.225,0.341,0.051,0.173
"P24","El tránsito",0.121,0.077,0.037,0.059,0.011
"P24","El arreglo de las calles",0.181,0.106,0.097,0.033,0.057
"P24","El estado de las escuelas y la educación",0.089,0.027,0.04,0,0.116
"P24","El sistema de salud",0.097,0.106,0.019,0.054,0.019
"P24","El deporte y la cultura",0.069,0.1,0.067,0.14,0.066
"P24","La obra pública",0.079,0.029,0.017,0,0.021
"P24","La luminaria",0.052,0.072,0.105,0.194,0.179
"P24","No sabe",0.07,0.258,0.277,0.469,0.358
"P25","La seguridad",0.178,0.208,0.09,0.063,0.145
"P25","El tránsito",0.056,0.154,0.185,0.225,0.128
"P25","El arreglo de las calles",0.126,0.177,0.204,0.049,0.164
"P25","El estado de las escuelas y la educación",0.135,0.134,0.171,0.146,0.12
"P25","El sistema de salud",0.216,0.151,0.155,0.362,0.193
"P25","El deporte y la cultura",0.019,0.011,0.01,0.052,0.039
"P25","La obra pública",0.015,0.057,0.105,0,0.011
"P25","La luminaria",0.035,0.022,0.017,0.02,0.006
"P25","No sabe",0.22,0.086,0.063,0.083,0.194
"P26","Agua corriente y cloacas",0.426,0.506,0.475,0.451,0.347
"P26","Energía eléctrica",0.077,0.124,0.141,0.169,0.09
"P26","Red de gas natural",0.116,0.076,0.061,0.015,0.105
"P26","Recolección de residuos",0.083,0.106,0.132,0.149,0.139
"P26","Ninguno",0.298,0.188,0.191,0.216,0.319
"P27","Los robos",0.279,0.27,0.277,0.348,0.387
"P27","El narcotráfico",0.261,0.346,0.366,0.18,0.214
"P27","La ausencia de patrulleros y personal policial",0.139,0.152,0.127,0.062,0.13
"P27","Otro",0.199,0.134,0.129,0.33,0.189
"P27","Ninguno",0.122,0.098,0.101,0.08,0.08
"P28","Frente de Todos y el peronismo",0.653,0.082,0.156,0.335,0.162
"P28","Cambiemos",0.105,0.768,0.12,0.054,0.13
"P28","Liberales Libertarios",0.041,0.08,0.664,0,0.143
"P28","Izquierda",0.031,0.004,0.016,0.357,0.032
"P28","No sabe",0.17,0.066,0.044,0.254,0.533
"P30","A Alberto Fernández",0.307,0.013,0.057,0,0.026
"P30","A Sergio Massa",0.278,0.226,0.303,0.063,0.161
"P30","A algún candidato del peronismo",0.135,0.527,0.64,0.168,0.762
"P30","A algún candidato del kirchnerismo",0.28,0.234,0,0.769,0.051
"P31","A Alberto Fernández",0.117,0.12,0,0,0.026
"P31","A Sergio Massa",0.198,0.171,0.33,0.175,0.448
"P31","A algún candidato del peronismo",0.133,0.583,0.67,0.177,0.455
"P31","A Cristina Fernández de Kirchner",0.552,0.126,0,0.648,0.071
"P32","A Horacio Rodriguez Larreta",0.347,0.228,0.171,0.206,0.373
"P32","A Mauricio Macri",0.122,0.373,0.07,0.017,0.08
"P32","A Patricia Bullrich",0.068,0.277,0.631,0.004,0.098
"P32","A Facundo Manes",0.356,0.107,0.119,0.33,0.141
"P32","A Gerardo Morales",0.107,0.015,0.009,0.443,0.308
"P33","Seguro lo votaria",0.106,0.252,0.6,0.064,0.233
"P33","Quizás lo votaría",0.198,0.349,0.18,0.391,0.275
"P33","Nunca lo votaría",0.696,0.399,0.22,0.545,0.492
