"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Al candidato del Frente de Todos",0.339,0.29,0.384,0.247,0.381,0.375,0.287,0.337,0.383,0.269,0.345,0.316,0.343,0.649,0.151,0.026
"Al candidato de Juntos por el Cambio",0.306,0.346,0.268,0.311,0.267,0.312,0.401,0.288,0.301,0.332,0.312,0.269,0.316,0.106,0.552,0.162
"Al candidato de los liberales - libertarios",0.157,0.208,0.112,0.284,0.151,0.113,0.071,0.191,0.119,0.183,0.16,0.151,0.157,0.089,0.175,0.199
"Al candidato de la Izquierda",0.024,0.023,0.025,0.007,0.034,0.026,0.017,0.027,0.017,0.034,0.017,0.038,0.025,0.031,0.012,0.098
"A otro candidato",0.058,0.033,0.081,0,0.081,0.057,0.071,0.067,0.057,0.05,0.074,0.065,0.04,0.039,0.044,0.355
"No sabe",0.116,0.1,0.13,0.151,0.086,0.117,0.153,0.09,0.123,0.132,0.092,0.161,0.119,0.086,0.066,0.16
