"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P07","Al candidato del Frente de Todos",0.769,0.561,0.228,0.053
"P07","Al candidato de Juntos por el Cambio",0.074,0.096,0.372,0.522
"P07","Al candidato de los liberales - libertarios",0.039,0.088,0.21,0.271
"P07","Al candidato de la Izquierda",0,0.019,0.022,0.043
"P07","A otro candidato",0.021,0.068,0.077,0.053
"P07","No sabe",0.097,0.168,0.091,0.058
"P08","A Julio Zamora por el Frente de Todos",0.756,0.526,0.088,0.027
"P08","A Malena Galmarini por el Frente de Todos",0.114,0.143,0.131,0.091
"P08","A Segundo Cernadas por Cambiemos",0.047,0.082,0.379,0.451
"P08","A Nicolás Massot por Cambiemos",0.011,0.032,0.072,0.125
"P08","Al candidato de los liberales libertarios",0.034,0.064,0.109,0.165
"P08","A Paula Akerfeld por el Frente de Izquierda",0.011,0.042,0.073,0.044
"P08","No sabe",0.027,0.111,0.148,0.097
"P10","A Julio Zamora por el Frente de Todos",0.792,0.652,0.215,0.045
"P10","A Segundo Cernadas por Cambiemos",0.055,0.133,0.341,0.509
"P10","Al candidato de los liberales libertarios",0.109,0.07,0.165,0.242
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.028,0.099,0.047
"P10","No sabe",0.044,0.117,0.18,0.157
"P12","A Malena Galmarini por el Frente de Todos",0.504,0.488,0.187,0.107
"P12","A Segundo Cernadas por Cambiemos",0.106,0.192,0.412,0.51
"P12","Al candidato de los liberales libertarios",0.073,0.063,0.171,0.227
"P12","A Paula Akerfeld por el Frente de Izquierda",0.013,0.044,0.036,0.042
"P12","No sabe",0.304,0.213,0.194,0.114
"P14","Muy buena",0.188,0.165,0.102,0.076
"P14","Buena",0.311,0.281,0.111,0.025
"P14","Ni buena ni mala",0.205,0.274,0.256,0.144
"P14","Mala",0.115,0.088,0.244,0.213
"P14","Muy mala",0.157,0.108,0.185,0.503
"P14","No sabe",0.024,0.084,0.102,0.039
"P15","Muy buena",0.635,0.185,0.103,0.032
"P15","Buena",0.21,0.52,0.192,0.061
"P15","Ni buena ni mala",0.111,0.21,0.4,0.203
"P15","Mala",0,0.051,0.169,0.331
"P15","Muy mala",0.004,0.004,0.103,0.32
"P15","No sabe",0.04,0.03,0.033,0.053
"P16","Muy buena",0.123,0.057,0.164,0.289
"P16","Buena",0.051,0.103,0.18,0.22
"P16","Ni buena ni mala",0.315,0.337,0.345,0.228
"P16","Mala",0.098,0.215,0.155,0.09
"P16","Muy mala",0.274,0.123,0.093,0.135
"P16","No sabe",0.139,0.165,0.063,0.038
"P17","Muy buena",0.043,0.024,0.012,0.013
"P17","Buena",0.074,0.067,0.053,0.042
"P17","Ni buena ni mala",0.32,0.27,0.421,0.34
"P17","Mala",0.076,0.052,0.074,0.104
"P17","Muy mala",0.107,0.056,0.049,0.092
"P17","No sabe",0.38,0.531,0.391,0.409
"P18","Muy buena",0.045,0.046,0.058,0.119
"P18","Buena",0.057,0.073,0.104,0.176
"P18","Ni buena ni mala",0.34,0.317,0.402,0.291
"P18","Mala",0.088,0.105,0.08,0.104
"P18","Muy mala",0.176,0.064,0.08,0.112
"P18","No sabe",0.294,0.395,0.276,0.198
"P19","Muy buena",0.617,0.208,0.019,0.012
"P19","Buena",0.219,0.519,0.22,0.07
"P19","Ni buena ni mala",0.067,0.183,0.546,0.265
"P19","Mala",0.015,0.05,0.139,0.347
"P19","Muy mala",0.054,0.012,0.07,0.273
"P19","No sabe",0.028,0.028,0.006,0.033
"P21","Es kirchnerista",0.265,0.114,0.207,0.152
"P21","Forma parte del Frente de Todos",0.429,0.406,0.179,0.163
"P21","Es un hombre de Massa",0.122,0.19,0.186,0.092
"P21","Es un peronista independiente de centro",0.116,0.059,0.089,0.104
"P21","Es un oportunista y está donde le conviene",0.01,0.045,0.162,0.369
"P21","No sabe",0.058,0.186,0.177,0.12
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.139,0.068,0.23,0.172
"P22","Son aliados tácticos pero lo ocultan",0.012,0.161,0.199,0.131
