"var","categoria","Son lo mismo aunque estén en espacios politoca diferentes","Son aliados tácticos pero lo ocultan","Son adversarios políticos","No sabe"
"P07","Al candidato del Frente de Todos",0.26,0.337,0.395,0.253
"P07","Al candidato de Juntos por el Cambio",0.23,0.204,0.439,0.254
"P07","Al candidato de los liberales - libertarios",0.306,0.261,0.112,0.137
"P07","Al candidato de la Izquierda",0.063,0.045,0.003,0.016
"P07","A otro candidato",0.071,0.072,0.011,0.12
"P07","No sabe",0.07,0.081,0.04,0.22
"P08","A Julio Zamora por el Frente de Todos",0.137,0.21,0.384,0.277
"P08","A Malena Galmarini por el Frente de Todos",0.199,0.129,0.07,0.102
"P08","A Segundo Cernadas por Cambiemos",0.134,0.224,0.379,0.248
"P08","A Nicolás Massot por Cambiemos",0.064,0.065,0.086,0.06
"P08","Al candidato de los liberales libertarios",0.224,0.166,0.052,0.071
"P08","A Paula Akerfeld por el Frente de Izquierda",0.111,0.057,0.01,0.033
"P08","No sabe",0.131,0.149,0.019,0.209
"P10","A Julio Zamora por el Frente de Todos",0.258,0.286,0.395,0.347
"P10","A Segundo Cernadas por Cambiemos",0.149,0.264,0.434,0.261
"P10","Al candidato de los liberales libertarios",0.237,0.246,0.131,0.148
"P10","A Paula Akerfeld por el Frente de Izquierda",0.113,0.076,0.014,0.023
"P10","No sabe",0.243,0.128,0.026,0.221
"P12","A Malena Galmarini por el Frente de Todos",0.274,0.252,0.332,0.204
"P12","A Segundo Cernadas por Cambiemos",0.171,0.322,0.424,0.338
"P12","Al candidato de los liberales libertarios",0.308,0.188,0.106,0.104
"P12","A Paula Akerfeld por el Frente de Izquierda",0.049,0.061,0.015,0.036
"P12","No sabe",0.198,0.177,0.123,0.318
"P14","Muy buena",0.158,0.098,0.087,0.139
"P14","Buena",0.097,0.19,0.187,0.103
"P14","Ni buena ni mala",0.205,0.21,0.196,0.24
"P14","Mala",0.162,0.083,0.191,0.171
"P14","Muy mala",0.337,0.33,0.323,0.256
"P14","No sabe",0.041,0.089,0.016,0.091
"P15","Muy buena",0.15,0.076,0.235,0.194
"P15","Buena",0.14,0.29,0.226,0.204
"P15","Ni buena ni mala",0.257,0.212,0.218,0.246
"P15","Mala",0.199,0.202,0.18,0.137
"P15","Muy mala",0.206,0.186,0.131,0.127
"P15","No sabe",0.048,0.034,0.01,0.092
"P16","Muy buena",0.102,0.057,0.267,0.174
"P16","Buena",0.081,0.248,0.157,0.139
"P16","Ni buena ni mala",0.315,0.339,0.237,0.371
"P16","Mala",0.252,0.16,0.111,0.054
"P16","Muy mala",0.192,0.136,0.184,0.082
"P16","No sabe",0.058,0.06,0.044,0.18
"P17","Muy buena",0.023,0.014,0.02,0.005
"P17","Buena",0.138,0.071,0.057,0.019
"P17","Ni buena ni mala",0.302,0.383,0.353,0.313
"P17","Mala",0.098,0.04,0.096,0.075
"P17","Muy mala",0.126,0.02,0.094,0.051
"P17","No sabe",0.313,0.472,0.38,0.537
"P18","Muy buena",0.148,0.044,0.103,0.022
"P18","Buena",0.144,0.266,0.091,0.102
"P18","Ni buena ni mala",0.297,0.294,0.354,0.315
"P18","Mala",0.075,0.121,0.114,0.058
"P18","Muy mala",0.141,0.053,0.105,0.073
"P18","No sabe",0.195,0.222,0.233,0.43
"P19","Muy buena",0.152,0.046,0.211,0.174
"P19","Buena",0.08,0.305,0.247,0.239
"P19","Ni buena ni mala",0.331,0.26,0.22,0.306
"P19","Mala",0.215,0.292,0.169,0.155
