"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Unión por la Patria",0.384,0.369,0.398,0.354,0.407,0.405,0.352,0.396,0.365,0.4,0.684,0.122,0.332,0.332,0.351,0.401,0.442,0.762,0.125,0.069,0.261,0.15
"Juntos por el Cambio",0.423,0.464,0.386,0.451,0.402,0.419,0.43,0.38,0.428,0.466,0.172,0.709,0.389,0.459,0.439,0.439,0.382,0.102,0.651,0.79,0.264,0.555
"En blanco",0.102,0.105,0.099,0.107,0.102,0.081,0.122,0.121,0.104,0.075,0.069,0.094,0.158,0.119,0.105,0.065,0.092,0.07,0.126,0.072,0.256,0.156
"No sabe",0.091,0.062,0.117,0.088,0.089,0.095,0.096,0.103,0.103,0.059,0.075,0.075,0.121,0.09,0.105,0.095,0.084,0.066,0.098,0.069,0.219,0.139
