"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.4336,0.4226,0.444,0.3916,0.4674,0.4546,0.3926,0.5036,0.3984,0.4032,0.7648,0.142,0.4196,0.3608,0.4514,0.414,0.4884,0.8714,0.1484,0.09,0.2928,0.2144
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.4508,0.4774,0.4268,0.495,0.4268,0.4332,0.46,0.3934,0.4642,0.4988,0.1766,0.741,0.4188,0.5012,0.4524,0.51,0.3992,0.087,0.6824,0.8428,0.278,0.5678
"En blanco",0.0558,0.053,0.058,0.0652,0.046,0.049,0.0738,0.043,0.0676,0.0538,0.0284,0.055,0.077,0.0706,0.0374,0.0306,0.0562,0.018,0.0882,0.0334,0.1778,0.1054
"No sabe",0.0598,0.047,0.0712,0.0482,0.0598,0.0632,0.0736,0.06,0.0698,0.0442,0.0302,0.062,0.0846,0.0674,0.0588,0.0454,0.0562,0.0236,0.081,0.0338,0.2514,0.1124
