"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.535,0.532,0.537,0.583,0.517,0.537,0.487,0.572,0.563,0.443,0.702,0.348,0.58,0.511,0.524,0.547,0.559,0.671,0.435
"No",0.328,0.35,0.308,0.282,0.33,0.35,0.377,0.307,0.305,0.39,0.16,0.538,0.338,0.365,0.313,0.305,0.307,0.179,0.446
"No sabe",0.137,0.118,0.155,0.135,0.153,0.113,0.136,0.121,0.132,0.167,0.138,0.114,0.082,0.124,0.163,0.148,0.134,0.15,0.119
