"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.513,0.549,0.48,0.517,0.481,0.528,0.562,0.497,0.505,0.546,0.247,0.788,0.573,0.547,0.546,0.429,0.478,0.204,0.76
"No",0.398,0.372,0.422,0.371,0.41,0.423,0.388,0.383,0.403,0.41,0.65,0.163,0.365,0.372,0.325,0.475,0.448,0.719,0.151
"No sabe",0.089,0.079,0.098,0.112,0.109,0.049,0.05,0.12,0.092,0.044,0.103,0.049,0.062,0.081,0.129,0.096,0.074,0.077,0.089
