"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.542,0.619,0.471,0.61,0.525,0.509,0.502,0.519,0.541,0.57,0.363,0.745,0.516,0.584,0.531,0.536,0.51,0.266,0.759
"No",0.352,0.299,0.401,0.282,0.367,0.39,0.39,0.33,0.363,0.365,0.531,0.171,0.376,0.312,0.348,0.397,0.383,0.632,0.14
"No sabe",0.106,0.082,0.128,0.108,0.108,0.101,0.108,0.151,0.096,0.065,0.106,0.084,0.108,0.104,0.121,0.067,0.107,0.102,0.101
