"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.467,0.534,0.405,0.532,0.442,0.408,0.482,0.44,0.464,0.506,0.195,0.755,0.512,0.524,0.468,0.426,0.422,0.108,0.75
"No",0.434,0.381,0.483,0.376,0.448,0.497,0.427,0.443,0.426,0.435,0.718,0.155,0.394,0.374,0.411,0.464,0.494,0.813,0.145
"No sabe",0.099,0.085,0.112,0.092,0.11,0.095,0.091,0.117,0.11,0.059,0.087,0.09,0.094,0.102,0.121,0.11,0.084,0.079,0.105
