"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Javier Milei",0.497,0.56,0.44,0.562,0.476,0.469,0.463,0.493,0.506,0.487,0.294,0.713,0.47,0.546,0.527,0.519,0.436,0.172,0.756
"Mauricio Macri",0.257,0.256,0.258,0.189,0.282,0.326,0.233,0.214,0.247,0.33,0.44,0.09,0.255,0.212,0.207,0.238,0.324,0.522,0.057
"Ambos",0.15,0.121,0.176,0.137,0.149,0.147,0.181,0.154,0.153,0.14,0.138,0.158,0.218,0.16,0.162,0.136,0.137,0.158,0.139
"No sabe",0.096,0.063,0.126,0.112,0.093,0.058,0.123,0.139,0.094,0.043,0.128,0.039,0.057,0.082,0.104,0.107,0.103,0.148,0.048
